timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523144494596519,10,4,-9,5,0,-4,-23,0
1523144494596519,-9,-1,9,-5,-3,2,17,15
1523144494611057,8,-5,4,1,4,1,-2,3
1523144494611057,-4,0,-7,-11,-10,-5,3,10
1523144494613063,-19,-6,14,3,0,-4,-13,-16
1523144494613063,7,1,-37,-8,0,-4,-4,-9
1523144494633623,2,6,2,6,-4,-5,-9,-4
1523144494633623,0,2,-4,-11,-2,3,7,7
1523144494635122,-2,0,4,1,3,0,6,-1
1523144494635122,6,3,5,7,-6,-2,-8,8
1523144494647659,-19,-5,1,-4,2,0,3,-61
1523144494647659,-14,-9,-6,-8,-4,-3,6,4
1523144494656185,27,11,-11,4,-2,-3,-8,-3
1523144494656185,-4,-2,13,1,0,-2,-1,-3
1523144494671218,4,0,-8,-5,-2,-2,-1,14
1523144494671218,-21,0,2,-2,3,-1,0,2
1523144494672722,3,-1,1,6,-2,0,-2,-1
1523144494672722,-10,2,0,-1,2,1,0,-1
1523144494693778,5,-8,10,-4,1,-2,1,12
1523144494693778,3,-13,5,-1,-2,2,2,-2
1523144494695281,-4,-2,-11,0,-1,-1,-2,12
1523144494695281,5,2,3,2,1,-1,-4,-1
1523144494707313,-3,-1,-2,2,-1,-2,-2,1
1523144494707313,6,1,-6,-4,-2,-2,5,-1
1523144494716337,4,-2,4,-2,-5,-5,5,-11
1523144494716337,-4,1,-13,-4,-2,-1,-5,1
1523144494731378,-2,3,-1,2,1,4,4,-14
1523144494731378,3,-1,-4,0,2,2,2,0
1523144494732886,-9,0,11,-1,-4,-1,-5,1
1523144494732886,-4,-5,-18,0,-2,-3,-3,-3
1523144494753938,8,3,2,-2,-1,-4,-2,7
1523144494753938,2,-3,-3,-3,-1,-1,1,-4
1523144494755442,-16,-4,-4,2,0,4,5,-2
1523144494755442,2,-2,3,2,2,3,0,1
1523144494775997,3,1,8,-2,1,0,0,8
1523144494775997,-8,3,-3,-4,-4,0,0,-6
1523144494778001,0,-5,-5,2,1,1,0,6
1523144494778001,0,0,14,-3,-2,-3,-4,-6
1523144494791036,-2,-1,-9,0,-1,0,3,-1
1523144494791036,-3,1,-2,-3,-3,-1,-2,-3
1523144494792540,6,-4,-9,0,0,-1,-4,-16
1523144494792540,-8,0,9,-3,-2,-1,-1,2
1523144494814100,-1,-4,-11,-4,-3,-4,-1,2
1523144494814100,-15,1,4,0,-3,-1,-4,-10
1523144494815606,-3,1,3,2,3,0,0,10
1523144494815606,-3,-9,-11,0,3,1,-1,0
1523144494836156,0,-5,2,0,-2,1,2,-9
1523144494836156,2,1,1,0,1,-1,0,10
1523144494837660,7,1,-10,-7,-6,-7,-6,-3
1523144494837660,-7,-15,18,2,0,2,1,-7
1523144494850694,4,7,34,4,1,0,-4,0
1523144494850694,6,-6,-58,-1,-2,0,-4,11
1523144494857213,-6,1,0,-1,-1,0,-1,13
1523144494857213,13,5,17,-3,-5,-3,-7,-6
1523144494873756,0,-2,-19,-6,-2,0,0,2
1523144494873756,-4,-4,28,2,2,3,4,-4
1523144494875260,-9,2,-6,-1,-1,-1,-5,-8
1523144494875260,12,21,-18,-3,-1,-4,-22,13
1523144494896316,11,-4,3,-1,-2,0,22,-6
1523144494896316,-15,12,0,-3,-2,-8,4,3
1523144494897823,-17,-13,0,-1,-1,-4,-61,-7
1523144494897823,10,2,2,1,1,8,42,8
1523144494910356,10,6,6,1,-1,0,8,4
1523144494910356,-7,-1,-24,-3,-1,0,51,0
1523144494917376,15,7,18,1,-3,-1,-33,4
1523144494917376,-9,4,-3,0,-1,-8,-36,-11
1523144494933415,-5,-3,-25,0,1,-6,-97,-6
1523144494933415,0,5,7,0,1,13,88,1
1523144494935424,24,6,-7,-2,0,12,95,36
1523144494935424,-11,-10,8,-3,-3,-2,-19,15
1523144494955975,1,3,-2,-2,-3,-4,-30,11
1523144494955975,1,-4,7,0,0,1,-26,-6
1523144494957982,8,1,-9,-3,-4,-3,-15,7
1523144494957982,0,-2,-1,-1,-3,-4,7,-4
1523144494970515,-12,-8,-7,3,2,-3,14,-8
1523144494970515,1,-5,5,-1,2,3,-25,10
1523144494977531,6,-3,-12,-3,-1,0,17,-9
1523144494977531,21,-2,0,-3,-3,-5,-8,9
1523144494993581,-23,-3,5,-2,-3,1,11,-9
1523144494993581,1,-6,2,1,-1,-5,-12,-6
1523144494995079,-9,-6,0,0,-1,-2,2,-10
1523144494995079,-5,0,0,-1,-1,-2,-13,-10
1523144495016137,3,3,-15,-2,1,-1,26,8
1523144495016137,1,-13,19,1,1,-3,-27,-3
1523144495017641,-7,-3,5,0,-1,-3,-36,-13
1523144495017641,0,-5,-8,-1,-2,-5,-4,-12
1523144495030675,-10,1,-4,2,3,11,75,24
1523144495030675,-2,-2,6,-8,-5,-2,10,-17
1523144495037191,-8,-5,0,1,-1,-5,-6,-11
1523144495037191,-1,-2,2,1,0,1,-5,-2
1523144495053734,0,-2,0,-3,-2,-4,-27,-2
1523144495053734,6,3,-2,2,-2,-1,-18,6
1523144495055239,-8,-3,-10,-4,-3,-3,-2,-6
1523144495055239,-6,4,17,2,2,0,8,-5
1523144495076294,3,3,35,2,2,0,-8,-4
1523144495076294,-6,-12,-65,-1,-1,-1,-14,1
1523144495077799,2,3,18,-1,-1,-4,2,9
1523144495077799,-8,-1,8,-1,0,3,4,-1
1523144495090333,-2,-4,2,0,-3,-8,-23,-4
1523144495090333,12,8,5,0,-4,-1,-1,-1
1523144495097356,-7,1,-9,-2,1,-1,8,5
1523144495097356,-5,-11,-11,-3,-1,0,-3,-4
1523144495113898,7,0,-7,-3,-2,2,5,-3
1523144495113898,-8,5,10,1,-2,-3,-14,4
1523144495115402,0,-3,-3,1,2,-1,7,-6
1523144495115402,-8,-24,-18,1,1,4,13,0
1523144495135955,6,11,39,-5,-5,-2,-1,-4
1523144495135955,4,-1,3,0,-3,-5,-13,1
1523144495137959,-2,-3,2,-2,0,-3,5,-3
1523144495137959,-1,0,-3,0,0,3,1,-4
1523144495150493,-3,-4,-19,5,7,4,6,1
1523144495150493,7,0,12,-3,-4,-6,-7,0
1523144495157514,2,7,18,2,-2,-1,0,-2
1523144495157514,2,-3,3,-4,-1,-1,5,1
1523144495173554,-3,-4,-10,-4,-5,-2,5,-7
1523144495173554,-3,1,8,0,2,0,-8,-2
1523144495175058,-1,0,1,1,0,0,2,0
1523144495175058,-4,7,-1,0,-2,-1,1,-10
1523144495196113,-7,-12,-17,-1,-1,1,1,-17
1523144495196113,-11,-4,4,0,0,0,-5,-3
1523144495198121,-2,3,4,-1,-2,2,2,-3
1523144495198121,-3,-18,10,3,1,1,4,13
1523144495210655,8,5,-14,-3,-4,-3,1,20
1523144495210655,-5,-5,-7,-1,-2,-3,-5,-32
1523144495217171,-1,-5,-6,1,-1,-3,-1,8
1523144495217171,-3,9,-5,2,1,1,5,-3
1523144495233714,3,-6,0,-1,-2,-2,1,4
1523144495233714,5,3,3,0,-1,0,-1,11
1523144495235218,-5,-5,-11,-4,-3,-2,-3,-10
1523144495235218,4,7,4,-3,-4,-4,2,2
1523144495256274,-4,1,-2,-1,-1,-1,1,2
1523144495256274,6,13,-4,-2,-2,-3,-2,3
1523144495257778,-6,-16,-6,-1,3,3,1,-6
1523144495257778,-4,1,-9,1,1,2,3,0
1523144495269810,-4,-4,-16,-1,-2,-1,-2,-4
1523144495269810,-6,0,4,0,-1,0,-1,-5
1523144495278833,-1,11,5,-1,-1,-3,-3,17
1523144495278833,13,4,-6,-2,-3,-1,3,-2
1523144495293875,-3,-6,1,-2,-3,0,-3,2
1523144495293875,1,-4,-3,1,6,-2,6,-2
1523144495295382,-8,-5,4,1,10,2,-1,0
1523144495295382,-3,0,-8,-2,-6,-1,0,-12
1523144495316434,1,11,28,-2,-5,-3,-4,-7
1523144495316434,5,-5,-25,-5,-5,-4,2,13
1523144495317940,5,-5,-4,3,-3,3,-6,-9
1523144495317940,-10,-2,3,1,3,3,1,-1
1523144495329971,4,2,0,-2,-1,-6,-6,-5
1523144495329971,8,-10,3,-2,-7,-2,-7,6
1523144495338995,-3,0,4,-1,-6,-6,-2,-8
1523144495338995,-20,-3,-12,-2,1,0,1,-10
1523144495353532,2,-8,-2,2,3,-1,-5,-6
1523144495353532,-18,-2,11,2,2,-7,-8,7
1523144495355538,1,-1,-15,-3,0,9,19,-2
1523144495355538,6,4,6,-2,-4,-3,-4,-2
1523144495376093,-6,1,-6,0,-3,-2,6,-4
1523144495376093,5,1,9,-5,0,3,1,2
1523144495377597,-7,0,10,-2,2,-1,6,-1
1523144495377597,-3,2,0,5,-4,-6,-22,3
1523144495389629,8,-1,-10,-1,9,3,3,1
1523144495389629,10,-3,9,6,-2,0,-2,12
1523144495398656,-12,8,-4,-7,-5,-5,7,-4
1523144495398656,7,3,0,-5,2,0,11,3
1523144495413694,-1,-3,11,2,-3,-1,-4,-5
1523144495413694,-1,7,-25,-2,2,7,-28,2
1523144495415201,-7,-23,-23,3,-2,-1,56,1
1523144495415201,-18,9,31,-3,-3,-7,-17,-21
1523144495436254,-3,4,-1,0,-3,-7,-53,-3
1523144495436254,-4,-14,4,-1,3,16,76,-8
1523144495437757,13,-4,2,-1,-4,-9,-70,44
1523144495437757,4,-2,-14,-3,-2,-3,42,5
1523144495449789,-12,-2,12,-5,-3,0,-34,-1
1523144495449789,23,7,1,-2,-2,-10,-56,-23
1523144495464835,6,-3,-2,3,2,5,83,19
1523144495464835,-4,-1,3,-2,-1,1,-21,-3
1523144495473852,2,-7,-7,-2,0,-1,-1,6
1523144495473852,4,0,0,-1,-2,-10,-33,1
1523144495475357,-9,-3,-1,-1,-5,-4,-78,-8
1523144495475357,8,5,-3,0,-1,4,69,8
1523144495496413,-4,1,-16,-1,0,7,34,7
1523144495496413,-17,-1,7,0,-2,5,6,-11
1523144495497919,6,-3,-3,0,-1,3,-16,-18
1523144495497919,-21,-6,-1,-2,-2,-3,-29,5
1523144495509951,19,0,-14,1,-1,-6,0,-3
1523144495509951,-6,-1,1,-2,-3,-1,6,5
1523144495518974,-4,8,9,1,1,3,-22,-16
1523144495518974,8,-3,-12,4,5,3,-9,6
1523144495533511,-2,1,3,-3,-2,2,12,-2
1523144495533511,-2,-2,-2,-4,-4,-1,34,3
1523144495535517,6,2,-4,-1,-3,-1,3,-8
1523144495535517,-1,-9,-1,0,-3,-2,-7,5
1523144495556075,-1,-2,1,0,-2,-2,-15,7
