timestamp,x,y,z
1523054619917497,-6.4375,-2.125,-0.9375
1523054619940558,0.375,-1.75,0.875
1523054619965628,0.8125,1.75,0.875
1523054619980163,-1.9375,4.0625,-0.25
1523054620000217,-5.125,2.6875,-1.5
1523054620024281,-3,1.625,-2.25
1523054620068900,0.5625,0.8125,-2.4375
1523054620077923,-0.5,-0.625,-2.0625
1523054620086949,-2.3125,-0.875,-0.5
1523054620105997,-2.6875,-1.4375,-0.5
1523054620122040,-1,-0.5625,-1.0625
1523054620152622,0.75,-0.5625,-1.1875
1523054620205262,-0.0625,-1.0625,-0.1875
1523054620206265,-0.8125,-1.8125,-0.5
1523054620206766,0.0625,-2.5625,-0.5625
1523054620225816,0.75,-2.8125,-0.3125
1523054620240356,1.75,-3.5,0.1875
1523054620262915,3.875,-4.75,2.25
1523054620284974,6.625,-3.375,4
1523054620300515,4.3125,-2.75,5
1523054620322574,7.25,-6,7.8125
1523054620345134,7.9375,-9.125,8.8125
1523054620361679,2.5625,-2.625,7.9375
1523054620382735,-1.375,5.5625,7.625
1523054620405294,-10.625,5.6875,-2.9375
1523054620421838,-12.1875,0.0625,-3.625
1523054620442894,-1.5,-0.75,-0.3125
1523054620465006,2.875,1.625,0.75
1523054620481498,0.9375,4.25,-1.1875
1523054620502553,-1.9375,2.5625,-0.625
1523054620525114,-2,0.4375,-0.5625
1523054620541657,1.9375,0.8125,1.0625
1523054620562714,4.4375,0.25,1.8125
1523054620585274,0.6875,-0.875,1.8125
1523054620601871,-1.5,-1.625,1.375
1523054620622873,-1.4375,-2.5,1.25
1523054620645433,0.625,-2.5625,-0.125
1523054620661476,1.25,-2.5,-0.4375
1523054620682588,0.25,-2.125,-1
1523054620705091,-1.25,-2.125,-1.1875
1523054620721637,-1.75,-2.375,-1.3125
1523054620742693,-0.125,-2.625,-1.875
1523054620765252,2.4375,-3.875,-1.1875
1523054620783301,5.3125,-4.5,1.875
1523054620802852,5.3125,-4.125,5.0625
1523054620825411,5.25,-5.6875,8.9375
1523054620842958,5.75,-14.25,10.875
1523054620862537,6,-13,8.6875
1523054620885070,8.0625,-1.5,10.875
1523054620903119,-3.5,12.5625,1.4375
1523054620922672,-22,8.375,-3.375
1523054620945231,-15,2.3125,-0.5625
1523054620963282,-4.4375,-3.3125,1.6875
1523054620982836,4.625,-2.125,6.125
1523054621005391,3.125,4.125,2.4375
1523054621022942,-3.875,5.375,-1.1875
1523054621042490,-2.5625,3.3125,-2.9375
1523054621065050,2.875,2.9375,-4.0625
1523054621083100,3.5625,1.9375,-4.125
1523054621102651,0.4375,0.875,-2.1875
1523054621125211,-2.375,0.1875,-0.625
1523054621143258,-1.5625,-0.4375,-0.3125
1523054621162811,2.0625,-0.3125,-0.6875
