timestamp,x,y,z,w
1523148914976494,0.164429,0.331848,-0.738525,-0.563477
1523148914997540,0.160767,0.329468,-0.739319,-0.564819
1523148915014083,0.158081,0.327942,-0.741028,-0.56427
1523148915036644,0.157776,0.325745,-0.742126,-0.564209
1523148915057198,0.156372,0.321594,-0.744324,-0.564026
1523148915073743,0.155396,0.319336,-0.74585,-0.563599
1523148915096304,0.152954,0.31665,-0.747437,-0.56366
1523148915117360,0.150513,0.315796,-0.748169,-0.563843
1523148915133401,0.148682,0.315247,-0.748535,-0.564209
1523148915156463,0.147278,0.314758,-0.748657,-0.564636
1523148915177519,0.146301,0.314392,-0.748474,-0.565308
1523148915194063,0.145264,0.314148,-0.748108,-0.566162
1523148915216621,0.143555,0.314209,-0.747803,-0.567017
1523148915237680,0.140625,0.315125,-0.747375,-0.56781
1523148915253229,0.13739,0.316101,-0.74707,-0.568481
1523148915276282,0.134949,0.315552,-0.747009,-0.569397
1523148915298842,0.133972,0.314087,-0.747375,-0.569946
1523148915313381,0.134094,0.313049,-0.747681,-0.570129
1523148915336567,0.134338,0.311646,-0.747925,-0.570557
1523148915359125,0.134521,0.310303,-0.748108,-0.570984
1523148915373673,0.134766,0.309509,-0.74823,-0.571228
1523148915396225,0.134216,0.308777,-0.748474,-0.57135
1523148915419790,0.132996,0.308777,-0.748657,-0.571472
1523148915433826,0.131714,0.30896,-0.748657,-0.571594
1523148915456386,0.130127,0.308838,-0.748718,-0.572021
1523148915478946,0.128174,0.308289,-0.74884,-0.572571
1523148915492982,0.126526,0.307983,-0.749146,-0.572754
1523148915517046,0.124573,0.307922,-0.749634,-0.572571
1523148915539106,0.120728,0.306946,-0.750793,-0.572266
1523148915560160,0.118347,0.305481,-0.751282,-0.572998
1523148915576205,0.117676,0.301758,-0.752441,-0.573608
1523148915605282,0.119324,0.299927,-0.753113,-0.573303
1523148915619823,0.120483,0.298096,-0.753845,-0.572998
1523148915636366,0.120789,0.29657,-0.754333,-0.573181
1523148915666445,0.120605,0.296265,-0.754395,-0.573303
1523148915673462,0.120544,0.296326,-0.754333,-0.573303
