timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523143514655590,18,-6,-18,9,1,7,75,-20
1523143514655590,21,5,5,-7,-1,8,22,15
1523143514656592,-1,7,-16,-2,1,3,-3,-21
1523143514656592,-1,-10,-7,-1,3,-2,-28,-18
1523143514658101,-2,10,5,-7,-2,-6,-50,-1
1523143514658101,-12,-17,7,-3,-3,-2,33,0
1523143514659100,9,7,-19,-1,0,-1,-2,6
1523143514659100,-5,-4,-3,9,-9,-1,-5,-2
1523143514665620,-2,-7,-38,-11,-6,-5,-4,-3
1523143514665620,-9,8,29,25,17,-3,-19,-4
1523143514672140,26,1,5,-5,-2,0,11,8
1523143514672140,7,7,-2,-22,-3,1,19,7
1523143514687175,-19,-7,-26,10,-6,0,4,6
1523143514687175,-19,10,7,-20,-10,-16,-32,-14
1523143514696202,-21,-9,15,21,0,-5,-20,3
1523143514696202,26,6,-16,-13,-5,-1,-5,-6
1523143514702216,31,8,15,5,4,9,19,18
1523143514702216,28,12,-3,-12,-1,8,38,13
1523143514727291,-87,-35,2,17,0,-3,6,-15
1523143514727291,28,-6,-20,-20,-6,-18,-91,18
1523143514728787,-11,5,12,1,3,11,71,1
1523143514728787,-49,-18,8,4,-3,-4,-12,-1
1523143514766394,-51,8,-12,-1,-2,-1,-69,-49
1523143514766394,35,43,6,-1,-1,8,30,9
1523143514766888,10,-13,8,-2,-7,-30,-62,4
1523143514766888,-21,-11,8,2,1,2,39,-11
1523143514769895,13,11,-15,-3,0,18,91,4
1523143514769895,3,-5,-4,-3,0,10,12,4
1523143514770899,-21,12,-1,1,2,1,-11,6
1523143514770899,5,-12,-16,-7,-10,-12,-55,6
1523143514777422,-8,8,5,10,5,-10,25,12
1523143514777422,-35,-23,-33,-3,1,10,-1,-6
1523143514784433,7,-27,4,-17,-12,-3,44,3
1523143514784433,-4,10,66,-3,-4,-14,-58,-12
1523143514791954,-10,-9,-22,0,7,2,7,3
1523143514791954,31,17,36,6,2,-2,-13,20
1523143514806992,-55,-3,-34,-6,2,1,-24,-30
1523143514806992,48,13,13,2,-3,-8,-8,-14
1523143514814513,23,-24,-10,4,-3,-3,-15,6
1523143514814513,15,9,17,-9,1,4,10,4
1523143514838332,7,7,14,12,-1,-9,-11,-15
1523143514838332,19,-9,11,15,10,26,57,-2
1523143514839079,15,14,11,2,-5,-5,0,14
1523143514839079,-22,-1,-25,-2,-6,-11,-20,-16
1523143514852565,23,12,0,-3,-4,3,11,15
1523143514852565,-33,-5,-64,-13,1,6,-8,11
1523143514853566,18,-29,22,5,-4,-4,-57,10
1523143514853566,-11,-14,2,4,4,-1,16,1
1523143514875037,1,10,-3,-8,-2,6,14,-4
1523143514875037,4,14,0,-2,-3,-7,7,6
1523143514875871,-2,-4,9,9,3,4,-12,-6
1523143514875871,-6,-11,4,-10,-11,-10,-4,-17
1523143514898328,5,-6,2,-11,7,5,6,11
1523143514898328,-13,3,-56,-14,-2,-3,-7,10
1523143514899559,-5,-1,66,19,-1,-5,3,-23
1523143514899559,-6,-15,-11,-10,0,-1,22,1
1523143514912861,-3,9,3,-15,-1,4,-36,-30
1523143514912861,-1,1,12,3,3,6,78,16
1523143514913473,12,5,-18,-26,-6,-4,-1,15
1523143514913473,-8,-11,-16,6,0,-3,-60,-13
1523143514935028,2,-6,0,22,-10,9,61,-4
1523143514935028,-1,-39,-12,-22,4,-1,-21,-7
1523143514936124,-12,5,-22,-40,-10,-4,-24,-6
1523143514936124,-7,13,20,18,4,-3,27,-6
1523143514958380,18,10,-27,-24,-3,-4,-38,21
1523143514958380,-11,3,26,42,-2,-1,-17,-29
