timestamp,x,y,z
1523143514476613,16.8125,-18.375,-6.1875
1523143514500678,17.5,-22.0625,-3.5
1523143514530256,13.3125,-14.5625,-8.125
1523143514537275,15.4375,-2.4375,-9.875
1523143514560836,8.5,6.4375,-7.4375
1523143514581895,-6.5,8.375,-5.25
1523143514597436,-4.6875,7.75,-5.5
1523143514653590,5.6875,4.8125,-8.4375
1523143514655091,10.25,1.3125,-9.5
1523143514660102,7.375,0.5,-8.8125
1523143514680661,-0.3125,1.125,-6.4375
1523143514698704,-8.25,-2.1875,-5.375
1523143514727789,-5,-0.625,-5.4375
1523143514764884,6.1875,-1.25,-3.8125
1523143514765391,14.625,2.1875,-0.375
1523143514778419,16.25,2.4375,-0.5625
1523143514799721,23.875,1.0625,-6.0625
1523143514822033,24.875,12.3125,-8.375
1523143514840220,-10.6875,-7.5,-8.375
1523143514859829,7.6875,13.875,-5.5625
1523143514881888,10.8125,9.3125,1.75
1523143514899934,-8.125,0.5625,2.1875
1523143514919823,-3.625,-2.1875,-1.375
1523143514942047,-0.4375,-7.1875,1.125
1523143514960254,-7.5625,-11.125,-1.0625
1523143514980649,-4.375,-12.25,-1.1875
1523143515001707,-7.0625,-14.5625,-3.1875
1523143515019755,-2.8125,-5.9375,-4.875
1523143515040810,2.1875,3.25,-4.375
1523143515062399,-11.5,4.3125,-3
1523143515080302,-11.9375,0.875,-0.6875
1523143515107451,-2.3125,0.6875,1.375
1523143515122119,6.9375,1.1875,2.9375
1523143515140209,3.6875,0,4.8125
1523143515160721,-1.3125,-0.5625,4.0625
1523143515181916,-3.3125,-0.875,1.4375
1523143515199824,-3.1875,0.75,-1.875
1523143515221426,-10.125,0.1875,-2.375
1523143515241980,-7.8125,1.375,-0.4375
1523143515259985,0.5625,5.1875,0.3125
1523143515281273,9.875,8.3125,2.3125
1523143515301992,4.375,8.5,3.375
1523143515320117,0.8125,6.875,-2.6875
1523143515341106,12.9375,-23.25,-8
1523143515361650,41.3125,-5.875,-7.9375
1523143515387268,34.875,1.3125,-4.0625
1523143515402257,2.6875,-2.3125,1.9375
1523143515422311,1.6875,0.6875,-1.8125
1523143515438909,7.75,-2.4375,-1.875
1523143515461414,-1.6875,-2.9375,-1.8125
1523143515482470,-10.4375,-5,-1.9375
1523143515499069,-5.9375,-0.75,-4.375
1523143515521576,-2.5625,1.75,-6.75
1523143515542630,-3.375,3.0625,-6.3125
1523143515559175,-3.1875,2,-3.3125
1523143515581235,0.625,1.5,-0.75
1523143515602289,6.8125,4.4375,0.75
1523143515618835,7.0625,5.9375,-0.3125
1523143515641393,3,3.8125,2.5625
1523143515662448,0.4375,4.9375,1.875
1523143515678993,1.6875,5.5625,2.0625
1523143515701556,2,4.8125,2.8125
1523143515722611,5.1875,6.375,1.75
1523143515745169,-0.375,3,1.8125
1523143515761212,-5.75,2,0.125
1523143515784274,0.8125,2.6875,-3.125
1523143515804828,6.375,0.125,-0.0625
1523143515821373,3.8125,-1.75,0.5
1523143515843987,0.3125,-2.6875,0.0625
1523143515866495,3.8125,-2.5,1.375
1523143515880530,4.8125,-2.6875,0.625
1523143515904092,1.1875,-4.4375,-0.25
1523143515926702,-2.25,-6.625,1.375
1523143515942194,-9.875,-11.625,3
1523143515963752,-2.8125,-13.625,1.625
1523143515986312,2.9375,-14.0625,3.75
1523143516001352,-0.3125,-15.25,-0.125
1523143516023911,7.4375,-5,-1.75
1523143516046472,2.625,-2.125,2.0625
1523143516061010,-4.6875,-2.6875,1.5
1523143516084072,-3,-1.375,0.9375
1523143516106632,-0.125,-1.8125,0.4375
1523143516120669,1.1875,-2.8125,1.3125
1523143516143729,0.6875,-4.25,0.6875
