timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523149997822247,-2,-5,-19,32,-11,3,1,4
1523149997822247,0,-1,50,60,-3,-2,1,-1
1523149997823257,-3,-12,23,8,12,-1,-2,-1
1523149997823257,-1,2,4,37,2,-1,-3,-1
1523149997829266,7,8,49,30,3,-9,-9,4
1523149997829266,-3,-7,-22,-128,-4,12,12,2
1523149997831272,-1,-3,26,85,-12,-4,1,-5
1523149997831272,-4,-5,13,-39,-19,-19,-12,-9
1523149997852327,2,1,-20,7,20,-5,0,-3
1523149997852327,0,-1,25,45,1,-6,-6,-3
1523149997854333,6,7,25,-19,-31,6,-1,5
1523149997854333,-2,-4,-22,62,6,14,7,0
1523149997874389,4,3,-18,-81,5,9,0,6
1523149997874389,1,1,12,37,37,28,17,2
1523149997876398,-8,-11,-32,-49,13,-1,-10,-12
1523149997876398,3,3,19,15,-29,-22,-10,3
1523149997888429,-5,-13,-32,-23,-78,16,14,0
1523149997888429,3,3,3,35,60,0,5,3
1523149997897447,-1,0,20,-10,-10,-3,-2,-2
1523149997897447,-2,-2,-26,24,30,8,-2,-4
1523149997911487,-2,-4,25,-18,13,-18,-8,-4
1523149997911487,-4,-4,-31,-50,-53,-31,-13,-4
1523149997913491,2,2,-8,22,-8,3,7,0
1523149997913491,5,4,1,-12,38,12,7,3
1523149997934556,-2,-2,6,18,-5,3,-1,-2
1523149997934556,-8,-11,-16,-38,-15,12,-11,-6
1523149997935549,0,7,-5,31,23,17,12,3
1523149997935549,3,-3,-1,-5,2,2,7,4
1523149997947582,-2,8,9,-4,-14,-3,-1,-3
1523149997947582,-13,-17,-40,-23,-1,-23,-8,-9
1523149997956842,-7,-18,18,7,-9,-20,-14,1
1523149997956842,-2,2,-22,-14,-17,0,1,-17
1523149997971879,5,-10,-10,10,22,-4,0,1
1523149997971879,7,17,-3,5,-31,-4,2,3
1523149997973651,-1,-1,4,-6,18,-6,1,-1
1523149997973651,-3,-3,-33,-39,-7,7,0,3
1523149997994877,0,-1,28,18,19,9,0,-2
1523149997994877,-1,-5,-15,1,-12,-3,-1,2
1523149997995792,2,2,9,2,6,-4,0,-1
1523149997995792,6,21,10,9,-7,-6,-6,-1
1523149998007872,-4,8,-6,28,6,3,1,0
1523149998007872,-22,-25,-7,-39,-2,2,-6,-3
1523149998016766,0,-28,-7,-15,1,-9,-8,-7
1523149998016766,-2,2,12,8,-6,2,1,0
1523149998031814,10,13,0,0,7,2,1,0
1523149998031814,12,24,17,14,5,-3,-1,2
1523149998033820,-5,-21,3,-12,-4,-2,1,-2
1523149998033820,-8,-3,-6,-6,-10,3,-4,-2
1523149998054952,-2,-2,17,-4,7,2,-1,-3
1523149998054952,12,3,-80,-5,-10,-5,1,-1
1523149998055871,-9,16,58,7,2,-5,-4,-2
1523149998055871,-2,-10,-5,16,4,2,0,1
1523149998067906,-4,-9,-5,-36,-3,-3,0,0
1523149998067906,0,2,19,27,-16,-1,-3,-3
1523149998076931,6,5,-33,-34,14,2,4,4
1523149998076931,-1,-4,-9,15,2,3,-1,0
1523149998092197,-10,-1,25,11,-7,-10,-5,-3
1523149998092197,2,-1,7,-12,1,-2,-3,-1
1523149998092976,9,5,-7,15,0,3,4,3
1523149998092976,-4,-1,9,-1,-5,-2,-1,-2
1523149998114025,-2,-7,-31,-20,-2,-3,-4,-3
1523149998114025,2,3,27,17,5,3,2,1
1523149998116032,-3,5,-12,-32,-4,1,-1,-2
1523149998116032,-3,-2,0,12,-7,-10,-3,-1
1523149998129072,1,-2,30,32,11,13,2,0
1523149998129072,1,2,22,-17,5,2,2,0
1523149998137093,-3,3,-20,10,-13,-4,-4,-4
1523149998137093,1,-4,19,5,6,3,1,2
1523149998152126,-5,-7,-25,-20,-11,-7,0,-3
1523149998152126,-3,-2,-13,-9,4,-3,-3,-2
1523149998153130,2,5,-3,18,6,6,1,0
1523149998153130,1,-5,9,-6,-9,-4,-1,-1
1523149998174466,2,9,-9,23,-3,0,-1,0
1523149998174466,-1,0,19,-2,-3,-3,1,0
1523149998176190,0,2,0,1,-3,-4,-4,-2
1523149998176190,-3,-3,-5,-7,0,1,-2,-4
1523149998188461,-3,-2,-5,2,3,-1,0,-2
1523149998188461,4,-4,-38,-44,-6,-2,-2,-2
1523149998197247,-3,1,20,12,-4,-5,-2,-3
1523149998197247,-2,-1,-5,-7,-3,-1,0,1
1523149998212566,1,-1,-12,4,2,-1,-2,0
1523149998212566,-3,-1,8,7,5,2,2,2
1523149998213289,-1,-2,-8,2,-1,-1,2,0
1523149998213289,1,-3,-3,-12,0,4,-1,-2
1523149998234609,2,1,27,16,4,0,-2,0
1523149998234609,-3,-6,-32,8,-6,-5,-1,-3
1523149998236351,-1,2,2,0,-2,-3,-2,-1
1523149998236351,-3,-4,-3,-12,-11,-6,-3,-1
1523149998249386,-2,1,1,-4,7,2,3,1
1523149998249386,1,3,16,12,8,6,2,1
1523149998257409,0,2,6,-7,-3,-1,-1,-1
1523149998257409,-4,-7,-40,-13,-13,-6,-6,-5
1523149998272582,0,-3,22,-1,8,-6,-2,-2
1523149998272582,0,0,-12,5,5,-2,-3,-2
1523149998273452,1,0,-6,2,4,6,3,0
1523149998273452,0,1,10,27,10,8,6,2
1523149998294744,-2,-4,0,-35,-12,-2,2,1
1523149998294744,-3,0,-11,8,-8,-3,-5,-2
1523149998295517,-1,1,14,-1,2,-4,-1,-1
1523149998295517,0,2,12,40,2,-2,-2,-1
1523149998308545,-1,-4,-17,-17,-5,-5,-8,-6
1523149998308545,-2,-3,-6,1,-6,-5,7,3
1523149998316565,1,3,12,32,2,3,1,1
1523149998316565,0,-2,-13,-56,1,2,1,0
1523149998331611,0,-3,-4,12,3,2,-2,-1
1523149998331611,0,2,24,5,-8,-5,-7,-5
1523149998333610,0,-3,-20,0,-1,-1,-1,1
1523149998333610,-3,0,3,-29,3,-1,1,-1
1523149998354672,0,-1,15,5,-3,1,1,-1
1523149998354672,0,-4,-8,-4,-4,4,-3,0
1523149998355667,-2,-1,10,-7,-5,-3,0,-3
1523149998355667,-2,-5,-33,5,-3,-6,-4,-1
1523149998367980,-3,-1,-1,-9,-5,-5,-5,0
1523149998367980,-2,2,8,-5,1,0,-1,-1
1523149998376725,2,2,-7,21,8,5,2,1
1523149998376725,-1,0,13,-15,-4,1,-1,1
1523149998392044,-4,-5,-38,-8,-2,-4,-2,-2
1523149998392044,-1,1,11,-13,-5,-2,-2,0
1523149998393773,0,0,-4,-3,2,-2,-2,-2
1523149998393773,0,0,2,23,-5,0,-1,-1
1523149998414825,0,1,14,14,13,3,1,3
1523149998414825,0,-3,-26,7,6,2,-1,-2
1523149998415829,-1,-2,-2,-2,-4,-2,-1,-1
1523149998415829,-1,-2,9,-26,-5,-7,-5,-3
1523149998428076,-2,-1,-4,9,-9,-4,-1,-2
1523149998428076,-1,-1,3,7,4,-1,1,-1
1523149998436884,0,0,6,9,5,2,0,0
1523149998436884,-1,-1,-1,-22,-3,-2,-2,0
1523149998452128,-2,-3,-5,35,-10,-3,-1,-3
1523149998452128,0,-2,-25,-38,8,4,3,1
1523149998453930,-2,0,26,-20,-10,-3,-3,-3
1523149998453930,0,-1,-3,30,3,0,0,-1
1523149998475167,-1,3,10,-29,1,1,0,0
