timestamp,x,y,z
1523147226446285,-1,0.1875,1.25
1523147226467340,-0.125,-0.4375,1.3125
1523147226483384,1.875,-1.0625,1.0625
1523147226506448,2.375,-1.375,1.125
1523147226527507,1.4375,-1.375,0.9375
1523147226543545,1.625,-1.1875,0.5625
1523147226566610,1.875,-0.875,0.125
1523147226587707,1,-0.875,0.1875
1523147226602706,-0.0625,-0.6875,0.6875
1523147226626765,-0.3125,-0.4375,1.3125
1523147226646860,0.1875,-0.6875,1.75
1523147226662863,0.9375,-1.0625,1.5
1523147226685922,1.625,-1.125,1.375
1523147226707039,1.3125,-1.0625,1.3125
1523147226723026,1.125,-0.8125,1.3125
1523147226747086,0.1875,-0.6875,1.25
1523147226767138,0.875,-0.6875,0.8125
1523147226783181,1.1875,-0.875,0.75
1523147226806243,1.5,-1,0.8125
1523147226827356,1.3125,-0.8125,1.3125
1523147226843342,1.1875,-0.5625,1.25
1523147226866405,0.6875,-0.625,0.875
1523147226887459,0.625,-0.4375,0.5625
1523147226903501,0.625,-0.625,0.625
1523147226926564,0.625,-0.8125,0.375
1523147226947677,0.875,-0.875,0.5
1523147226962707,0.4375,-0.875,0.9375
1523147226992738,0.5,-1.0625,0.8125
1523147227007778,1,-1.125,0.875
1523147227022821,1.25,-1.125,0.8125
1523147227045879,1.5,-1.4375,0.875
1523147227066993,1.375,-1.5625,0.75
1523147227082982,1.1875,-1.125,1
1523147227106040,0.25,-0.75,1.25
1523147227129102,0.1875,-1,1.3125
1523147227150198,0.5625,-1.25,1.25
1523147227165274,1.625,-1.1875,1.0625
1523147227187538,2.3125,-1.3125,1.25
1523147227202808,1.75,-1.6875,1.0625
1523147227226162,2,-1.9375,0.625
1523147227247223,2.5,-2,1.125
1523147227271043,1.9375,-1.75,0.875
1523147227286217,2.625,-1.125,0.75
1523147227307301,1.6875,0.625,1.375
1523147227323181,0.5625,0.375,0.875
1523147227345437,3,-0.375,1.6875
1523147227368541,2.75,-0.75,0.6875
1523147227383539,1.75,-0.75,0.875
1523147227405597,1.75,-0.875,0.625
1523147227428657,0.75,-1.125,0.6875
1523147227442694,-0.0625,-1.5,0.75
1523147227465758,0.5,-1.875,0.625
1523147227488821,2,-1.5625,0.5
1523147227502855,1.9375,-1.125,0.6875
1523147227525950,0.875,-1.0625,1
1523147227548978,-1.25,-0.6875,0.6875
1523147227563015,-1.1875,-0.5,0.6875
1523147227586081,-0.6875,-0.5,0.8125
1523147227609140,0.1875,-0.8125,0.625
1523147227623178,0.4375,-0.9375,0.8125
1523147227645243,-0.3125,-0.875,0.8125
1523147227668352,-1,-0.75,0.5625
1523147227683336,-1.625,-0.75,0.5
1523147227705396,-2.125,-1.1875,0.5
1523147227728467,-2.5625,-1.6875,0.4375
1523147227743499,-4.5,-2.4375,1.3125
1523147227765558,-4.1875,-3.125,2.375
1523147227788620,-1.375,-4.9375,2.5625
1523147227802703,0.25,-7.1875,1.9375
1523147227825715,2.5625,-7.5625,1.4375
1523147227856799,2.375,-7,2
1523147227869879,0.4375,-5.9375,2.75
1523147227885876,-1.75,-5,3.625
1523147227908937,-1.9375,-3.875,3.25
1523147227930044,-0.0625,-2.25,2.875
1523147227946037,1.3125,-1,2.9375
1523147227969097,0.1875,-0.25,3.3125
1523147227990151,-0.5,0.6875,3.8125
1523147228005193,-0.625,1.625,4.1875
1523147228028255,0.25,1.9375,3.1875
1523147228050407,1.75,1.625,1.6875
1523147228065352,0.875,1.125,0.125
1523147228088451,0,1,-1.1875
1523147228109600,0.25,1.5,-1.8125
1523147228132584,-0.875,2.4375,-2.3125
1523147228148576,-2.3125,3,-2.625
1523147228169630,-2.5,2.875,-3
1523147228185672,-1.9375,2.75,-3.5625
1523147228207791,-0.5,2.875,-4.1875
1523147228229934,0.8125,2,-4.8125
1523147228245833,0.375,1.1875,-5.5625
1523147228267892,0.9375,2.1875,-5.375
1523147228290989,1.875,3.125,-4.0625
1523147228312063,3.9375,1.75,-1.6875
1523147228328053,-0.8125,1.5625,-0.1875
1523147228351120,-1.5625,2.1875,-0.5625
1523147228365205,0.4375,2,-0.5
1523147228388213,0.875,1.75,-1.75
1523147228411371,1.75,1.6875,-2.375
1523147228425402,1.5625,1.875,-3.875
1523147228448464,0.875,1.0625,-3.8125
1523147228471524,-1.375,1.75,-5.75
1523147228485563,-2.9375,2.5625,-5
1523147228507621,-4.6875,2.8125,-5.5625
1523147228531743,-5.1875,3.0625,-5.0625
1523147228545722,-2.5,2,-5.6875
1523147228567782,-0.875,0.8125,-4.25
1523147228590849,-2.125,1.4375,-3.6875
1523147228605883,-2.3125,1.9375,-2.9375
1523147228627949,-2.1875,1.5,-1.8125
1523147228651005,-2.9375,1.125,-2.0625
1523147228672057,-3.4375,1,-1.875
1523147228688104,-3.625,1.5,0
1523147228734223,-7.625,0.875,2
1523147228735227,-5.625,0.4375,2.25
1523147228754276,-2.125,0.3125,0.75
1523147228771323,0.875,-0.9375,-0.125
1523147228786365,1.6875,0.125,0.375
1523147228815447,2.75,-9.375,-1.9375
1523147228838546,0.25,-9.9375,-2
1523147228861563,-14.0625,4.75,-4.9375
1523147228875603,-6.0625,7.5625,-11.625
1523147228898663,-4.25,-11.5625,0.6875
1523147228921727,-7,10.875,-16.5625
1523147228941834,-7.1875,-5.9375,-0.0625
1523147228958822,-1.5,-4.5625,-11.6875
1523147228988901,-10.4375,8.6875,-15.875
1523147229001990,-10.8125,-1.1875,-2.375
1523147229018982,-5.0625,-6.6875,-2.9375
1523147229041039,-4.875,-5.3125,-8.75
