timestamp,x,y,z
1523055788971097,-0.0976563,-0.449707,0.874512
1523055788987141,-0.0961914,-0.44873,0.864746
1523055789001681,-0.0927734,-0.44873,0.871094
1523055789025244,-0.09375,-0.451172,0.878906
1523055789046801,-0.0878906,-0.443848,0.878906
1523055789061341,-0.0849609,-0.439453,0.879883
1523055789085430,-0.0927734,-0.449707,0.879395
1523055789139096,-0.0922852,-0.448242,0.881348
1523055789140061,-0.0883789,-0.451172,0.887207
1523055789141056,-0.0874023,-0.438965,0.895508
1523055789161109,-0.101563,-0.397949,0.880371
1523055789178149,-0.10498,-0.43457,0.867188
1523055789196738,-0.0708008,-0.463379,0.850586
1523055789220313,-0.132324,-0.567383,0.9375
1523055789258865,-0.0991211,-0.43457,0.870605
1523055789261374,-0.120605,-0.365723,0.837891
1523055789280927,-0.0830078,-0.499512,0.846191
1523055789293992,-0.0605469,-0.529297,0.849609
1523055789316624,-0.0893555,-0.380371,0.837402
1523055789339077,-0.0957031,-0.360352,0.866211
1523055789361639,-0.0776367,-0.383301,0.894531
1523055789376401,-0.090332,-0.418945,0.896973
1523055789398824,-0.0786133,-0.444336,0.890625
1523055789413779,-0.0917969,-0.432617,0.881348
1523055789436327,-0.0981445,-0.464844,0.873047
1523055789458889,-0.100586,-0.471191,0.859863
1523055789473931,-0.081543,-0.458008,0.864746
1523055789496487,-0.0810547,-0.471191,0.879395
1523055789519112,-0.0922852,-0.460938,0.879883
1523055789533696,-0.100098,-0.436523,0.878906
1523055789556210,-0.0942383,-0.433105,0.873535
1523055789578769,-0.0810547,-0.421387,0.882813
1523055789595314,-0.0864258,-0.418457,0.884277
1523055789616528,-0.0883789,-0.425781,0.875488
1523055789639038,-0.0927734,-0.441406,0.870605
1523055789655081,-0.0839844,-0.439453,0.866699
1523055789676362,-0.0761719,-0.433105,0.867188
1523055789698921,-0.0703125,-0.459473,0.888672
1523055789715418,-0.0888672,-0.436035,0.892578
1523055789736522,-0.103027,-0.384277,0.878418
1523055789758666,-0.0737305,-0.410645,0.816406
1523055789775210,-0.0957031,-0.445313,0.95166
1523055789796313,-0.140625,-0.539551,0.916992
1523055789818873,-0.104004,-0.42041,0.88623
1523055789835370,-0.10791,-0.397461,0.821289
1523055789856618,-0.0688477,-0.537598,0.845215
1523055789878734,-0.0419922,-0.518066,0.834961
1523055789895224,-0.0727539,-0.421875,0.85791
1523055789916326,-0.102051,-0.377441,0.86377
1523055789938967,-0.0888672,-0.386719,0.87207
1523055789955510,-0.0786133,-0.442871,0.88916
1523055789976238,-0.0786133,-0.464844,0.886719
1523055789998744,-0.090332,-0.452148,0.876465
1523055790015287,-0.081543,-0.453613,0.870605
1523055790036396,-0.0766602,-0.456543,0.867676
1523055790058902,-0.081543,-0.463379,0.872559
1523055790081462,-0.0854492,-0.458496,0.876465
1523055790096501,-0.0869141,-0.440918,0.879395
1523055790119062,-0.078125,-0.4375,0.87207
1523055790136610,-0.0874023,-0.4375,0.877441
1523055790156341,-0.081543,-0.440918,0.876465
1523055790178873,-0.081543,-0.432617,0.872559
1523055790196894,-0.0703125,-0.450684,0.885254
1523055790216500,-0.0869141,-0.454102,0.905273
1523055790242015,-0.0908203,-0.404297,0.88623
1523055790256052,-0.0639648,-0.403809,0.91748
1523055790279120,-0.115723,-0.537109,0.996582
1523055790299689,-0.14502,-0.561035,0.900391
1523055790315212,-0.11377,-0.408203,0.884277
1523055790338271,-0.102539,-0.39209,0.836914
1523055790359375,-0.0708008,-0.49707,0.846191
1523055790381941,-0.0488281,-0.458496,0.833008
1523055790398432,-0.0625,-0.381348,0.837891
1523055790419485,-0.0849609,-0.373047,0.861328
1523055790436031,-0.0688477,-0.362305,0.884766
1523055790458591,-0.0678711,-0.414063,0.902344
1523055790479666,-0.0708008,-0.461914,0.895996
1523055790495689,-0.0893555,-0.452637,0.875
1523055790518250,-0.0830078,-0.477539,0.869629
1523055790540811,-0.0791016,-0.480957,0.866211
1523055790555849,-0.0810547,-0.47168,0.866211
1523055790578409,-0.0810547,-0.461426,0.868164
1523055790600969,-0.0849609,-0.444336,0.871094
1523055790616009,-0.0854492,-0.436035,0.870117
1523055790638777,-0.0888672,-0.432129,0.867676
1523055790661129,-0.0820313,-0.443848,0.868652
1523055790676168,-0.0849609,-0.430176,0.884277
1523055790698230,-0.0830078,-0.431152,0.884277
1523055790720789,-0.0698242,-0.445801,0.898438
1523055790735447,-0.0844727,-0.466309,0.905762
1523055790758509,-0.0825195,-0.447754,0.887695
1523055790781069,-0.0732422,-0.427246,0.90918
1523055790795171,-0.106445,-0.460938,0.956543
1523055790818248,-0.126953,-0.516113,0.896973
1523055790840791,-0.0976563,-0.397949,0.883301
1523055790855333,-0.0820313,-0.38623,0.833008
1523055790878391,-0.0522461,-0.507324,0.859863
1523055790900951,-0.0610352,-0.473633,0.856934
1523055790915491,-0.103027,-0.395508,0.87207
1523055790944568,-0.0888672,-0.339844,0.868652
1523055790961112,-0.0874023,-0.394531,0.892578
1523055790975261,-0.0664063,-0.474609,0.901855
1523055790998323,-0.0791016,-0.456055,0.883301
1523055791020882,-0.0810547,-0.444336,0.863281
1523055791041993,-0.0854492,-0.455566,0.867188
1523055791058483,-0.0834961,-0.466797,0.873535
1523055791081041,-0.0761719,-0.460938,0.87793
1523055791102155,-0.0800781,-0.44043,0.880859
1523055791118645,-0.0854492,-0.431152,0.879395
1523055791140701,-0.0859375,-0.439941,0.871094
1523055791161804,-0.0800781,-0.435547,0.876953
1523055791178299,-0.0810547,-0.427246,0.880371
1523055791200861,-0.0742188,-0.439941,0.879395
1523055791221964,-0.0742188,-0.446777,0.88916
1523055791238461,-0.0849609,-0.45752,0.893555
1523055791261020,-0.0883789,-0.432129,0.875488
1523055791282129,-0.0898438,-0.40332,0.851563
1523055791298620,-0.015625,-0.510254,0.781738
1523055791320681,-0.104004,-0.54834,0.930664
1523055791342234,-0.123047,-0.456055,0.87207
1523055791358281,-0.101563,-0.401367,0.822754
1523055791380839,-0.0581055,-0.483887,0.856934
1523055791401944,-0.0405273,-0.500977,0.864258
1523055791417936,-0.0976563,-0.442383,0.862305
1523055791440999,-0.0883789,-0.373047,0.868652
1523055791461602,-0.0849609,-0.367188,0.887207
1523055791478600,-0.0693359,-0.472656,0.904785
1523055791500768,-0.0751953,-0.474609,0.893555
1523055791523325,-0.0908203,-0.433594,0.862305
1523055791537868,-0.0795898,-0.441895,0.85791
1523055791560927,-0.0717773,-0.470215,0.86084
1523055791583487,-0.0678711,-0.462402,0.873535
1523055791598527,-0.081543,-0.446289,0.866699
1523055791621086,-0.0800781,-0.436035,0.874512
1523055791643732,-0.0810547,-0.44873,0.873535
1523055791657770,-0.0874023,-0.448242,0.874023
1523055791680833,-0.081543,-0.429688,0.875488
1523055791703396,-0.0805664,-0.441895,0.899414
1523055791717931,-0.0629883,-0.472656,0.908691
1523055791740992,-0.0825195,-0.445801,0.903809
1523055791763553,-0.110352,-0.411133,0.875977
1523055791777730,-0.00341797,-0.494141,0.868164
1523055791800901,-0.123047,-0.541992,0.958008
1523055791823461,-0.110352,-0.455078,0.858887
1523055791838003,-0.0942383,-0.380859,0.835938
1523055791861061,-0.0620117,-0.444336,0.844727
1523055791883661,-0.0175781,-0.497559,0.874512
1523055791904289,-0.101074,-0.409668,0.866699
1523055791920835,-0.0888672,-0.373535,0.85791
1523055791943395,-0.0825195,-0.396973,0.883789
1523055791957678,-0.0761719,-0.460449,0.895508
1523055791981241,-0.081543,-0.459961,0.886719
1523055792003300,-0.0844727,-0.447266,0.869629
1523055792024406,-0.0776367,-0.457031,0.867676
1523055792040899,-0.0800781,-0.456543,0.86377
1523055792063459,-0.0737305,-0.458984,0.878906
1523055792084568,-0.0786133,-0.463867,0.880859
1523055792101061,-0.081543,-0.439941,0.879883
1523055792123621,-0.0791016,-0.435547,0.875
1523055792144677,-0.090332,-0.439941,0.881836
