timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523144254641824,-11,-12,44,-1,-4,0,-3,14
1523144254641824,8,9,-76,-5,3,12,26,-22
1523144254657422,-7,-7,65,5,-5,-8,-11,23
1523144254657422,7,3,-16,5,7,5,-14,-17
1523144254657866,-3,-15,4,-12,-11,-7,-2,21
1523144254657866,-11,1,39,1,-3,-11,-20,-73
1523144254679926,3,2,-33,2,4,9,1,0
1523144254679926,-6,-9,-79,-2,-1,-4,1,41
1523144254681431,12,11,77,15,7,2,-3,2
1523144254681431,-8,-10,-45,-8,-5,0,22,-30
1523144254693463,3,-3,16,0,0,4,6,70
1523144254693463,6,21,102,15,5,-1,10,-35
1523144254702486,-18,-36,-85,-35,-17,-7,-18,-70
1523144254702486,4,11,36,6,1,-5,-10,35
1523144254717256,-2,-2,-17,-2,-1,-5,-17,-17
1523144254717256,3,-4,40,-3,3,8,21,54
1523144254719030,15,27,83,29,8,3,-22,2
1523144254719030,-18,-37,-69,-40,-18,-7,-3,-17
1523144254739815,1,0,30,-2,1,-3,-2,26
1523144254739815,-4,11,64,10,2,3,-20,-92
1523144254741590,-7,-25,-52,-26,-11,-9,-4,5
1523144254741590,7,20,27,18,6,3,-16,21
1523144254753622,-9,-27,-122,-16,-7,-7,2,12
1523144254753622,11,-4,-4,-2,-6,-3,8,47
1523144254762648,13,21,60,15,11,8,29,5
1523144254762648,-31,-9,5,1,-2,-5,-40,-50
1523144254777188,5,4,43,6,1,-5,-14,13
1523144254777188,-4,-5,-28,-7,-4,-4,4,55
1523144254779194,-1,-8,-71,-9,-4,1,15,-4
1523144254779194,16,4,2,2,0,-2,14,2
1523144254799926,5,14,34,6,3,12,29,22
1523144254799926,-1,-16,-11,-6,-2,-2,-3,5
1523144254801249,-15,0,-8,3,4,0,-15,-70
1523144254801249,4,-3,-5,-9,-2,-4,8,96
1523144254822453,-7,1,9,-3,-2,2,10,-122
1523144254822453,3,4,-36,-1,-3,-3,-12,61
1523144254824339,7,4,48,9,2,1,8,14
