timestamp,x,y,z
1523147575413094,-1.375,-3.875,6.125
1523147575435656,6.5625,-0.125,7
1523147575456709,3.1875,-0.125,4.1875
1523147575473254,0.0625,1.75,3.6875
1523147575495312,0,3.875,2.75
1523147575516372,-2.5,5.75,1.5625
1523147575532913,-4.125,5.75,0.0625
1523147575555477,-4.25,5.3125,-1.75
1523147575576530,-5.625,4.5,-2.8125
1523147575593075,-4.875,3.125,-2.75
1523147575615635,-5.25,1.5625,-3.1875
1523147575636705,-6.875,3.5,-4
1523147575653242,-8.125,8.0625,-6.25
1523147575675292,-16.8125,12.125,-9.625
1523147575696350,-17.5625,11.5,-10.5
1523147575712390,-12.625,3.5625,2
1523147575735452,7.125,-6.375,4.8125
1523147575758014,-5.375,-5.75,5.1875
1523147575772550,-14.25,-3.1875,2.8125
1523147575795452,-12.75,-3.75,2.6875
1523147575818012,-0.3125,-1.8125,3.0625
1523147575840572,3.5,5,5.8125
1523147575855609,3.25,3.1875,6.5625
1523147575878171,2.1875,-2.25,4.125
1523147575892208,7.125,-3.3125,1.5
1523147575915274,10,-2.5,1.1875
1523147575937832,5.5625,-1.5,0.625
1523147575952368,1.875,-1.4375,0.1875
1523147575975428,3.9375,-1.9375,-1.1875
1523147575997991,3.5,-0.75,-2.375
1523147576012527,-0.8125,2.1875,-1.6875
1523147576035590,-2.8125,4.625,0.625
1523147576058149,-5.0625,2.8125,1.375
1523147576072189,-0.5625,1.6875,0.6875
1523147576095248,-1.125,3.25,-0.375
1523147576117808,-6.75,5.5,-2.75
1523147576132350,-5.8125,7.5625,-5.125
1523147576155410,-8.9375,8.25,-7.9375
1523147576177976,-6.4375,8.0625,-13.0625
1523147576192511,10,6.75,0.625
1523147576215282,23.5625,-0.9375,7.25
1523147576237847,-0.125,-9.5625,5.8125
1523147576259076,-7,-15.5625,3.25
1523147576275445,-0.25,-15.5,1.25
1523147576298005,-3.5,-9.1875,1.8125
1523147576319101,-3.8125,0.75,3.3125
1523147576335604,-4.6875,2.0625,1.4375
1523147576358167,-0.3125,1,-3.25
1523147576379268,2.1875,3.8125,-0.5625
1523147576395762,0.0625,5.625,2.4375
1523147576418324,-0.9375,6.8125,2.75
1523147576438878,-2.875,6.3125,1.5625
1523147576455420,-5.125,3.8125,0
1523147576477983,-2.8125,1.625,-0.875
1523147576499037,-1.5,1.5625,-0.5625
1523147576515580,-2.125,0.75,-2.0625
1523147576538140,-2.4375,0.8125,-3.375
1523147576559196,-3.5,1.125,-3.5625
1523147576575240,-5.625,1.3125,-2.75
1523147576597800,-4.75,2.125,-3.5625
1523147576619095,-0.75,4.375,-4.9375
1523147576635401,-4.4375,7.875,-6.4375
1523147576657960,-5.5,7.4375,-13.5625
1523147576663533,5.625,-0.375,-5.8125
1523147576686056,16.1875,-10.875,-0.375
1523147576702580,-7.8125,-10.125,4.1875
1523147576723683,-6.875,-5.1875,2.875
1523147576745740,-3.625,-1.75,2.375
1523147576760789,-10.5,-1.625,3.875
1523147576783296,-4.375,3.0625,4.25
1523147576805855,-1.8125,1.0625,4.5625
1523147576820894,2.8125,-0.625,2.9375
1523147576843501,-0.6875,0.625,0.875
1523147576866063,0.125,-1.5625,-0.0625
1523147576881056,2.5625,-1.0625,-0.9375
1523147576903623,2.625,-0.3125,-0.125
1523147576925675,1.0625,0.125,-1.3125
1523147576948279,0.125,2.4375,-1.8125
1523147576963281,-0.8125,5.125,-0.0625
1523147576985834,-4.3125,5.6875,2.8125
1523147577000873,-3.75,5.5,4.375
1523147577023434,-1.5625,4.875,3.6875
1523147577045991,-1.8125,4.0625,1.25
1523147577061038,-1.4375,4.0625,-1.3125
1523147577083593,-0.625,3.75,-2.5625
1523147577106154,-2.4375,3,-4.0625
1523147577120695,0,3.8125,-4.5625
1523147577143255,-4.25,0.8125,-6.375
1523147577167316,-12.875,-2.3125,-5.875
1523147577180852,-0.375,-6.875,2.8125
1523147577203411,10.25,-13.375,3.625
1523147577225981,2.875,-12.375,3.75
1523147577242560,8.4375,-9.4375,3.375
1523147577263239,6.875,-5,3.9375
1523147577285878,2.5,-3.4375,2.6875
1523147577302340,4.5,2,1.3125
1523147577323455,-0.1875,3.3125,2.8125
1523147577345996,1.4375,1.0625,-0.6875
1523147577362500,5.125,0.3125,2.1875
1523147577383556,2.1875,1.75,0.9375
1523147577406121,2.625,2.6875,0.5625
1523147577422160,0.6875,2.25,1.1875
1523147577443272,0.3125,1.75,1.5625
1523147577465780,0.8125,0.75,1.625
1523147577482319,3.25,0.375,1.3125
1523147577503383,2.3125,0.25,0.875
1523147577525938,0.1875,-0.8125,-0.25
1523147577542479,0.3125,0,-0.5625
1523147577563570,0.4375,0.875,-1.0625
1523147577586095,-3.5625,1.1875,-3.25
1523147577602138,-4.4375,0.875,-7.6875
1523147577623695,-3.0625,1.0625,-11.4375
1523147577645811,-2.9375,2.3125,-10.75
1523147577663803,7.6875,2.9375,-9.9375
1523147577683354,9,2.6875,1.5
1523147577705916,25.8125,-0.0625,7.75
1523147577723700,7.375,-7,10.9375
1523147577743253,-4.0625,-7.8125,6.5625
1523147577765813,3.1875,-8.4375,4.75
1523147577784362,-0.4375,-9.125,2.8125
1523147577803532,3.4375,-9.3125,1.1875
1523147577826094,8.1875,-5.375,2.875
1523147577843640,10.375,-3.0625,1.9375
1523147577863246,4.75,-2.5,3.125
1523147577885806,3.75,-0.875,1.25
1523147577903884,7.9375,1.125,0.875
1523147577923553,3.5,1.9375,-0.375
1523147577945668,0.8125,4,-0.5625
1523147577963661,-0.25,3.6875,-0.25
1523147577983218,-1.375,3,0.25
1523147578005828,-1.5,2,0.125
1523147578023825,-1.5,1.125,-1
1523147578043377,-2.1875,2.8125,-2.125
1523147578065933,-5.5625,5.1875,-5.375
1523147578083981,-3.9375,8,-8.125
1523147578103532,-14.4375,8.25,-12.5
1523147578125764,-17.125,10,-8.6875
1523147578148270,15.8125,3.5,3.8125
1523147578163355,29.5625,-11.75,4.625
1523147578185873,16.6875,-10.1875,2.5625
1523147578216452,1.6875,-7.75,6.4375
1523147578225142,-3.625,-3,6.875
1523147578245769,-8.6875,-1.1875,8.375
1523147578263575,2.1875,-0.5,7.5
1523147578284638,7,3.5625,9.0625
1523147578308696,11,-0.3125,3.5
1523147578323736,8.25,-0.875,5.3125
1523147578344792,2.3125,1.625,2.5625
1523147578365849,1.5,2,2.5625
1523147578383899,0.25,2.625,1.5
1523147578404952,-1.75,2.9375,-1.0625
1523147578426207,-8.25,5.5625,-1.625
1523147578443554,-10.0625,8.0625,-1.25
