timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523055628669181,0,-2,-1,52,22,7,5,0
1523055628669181,-6,-8,2,-28,-3,-5,-4,-3
1523055628669683,2,4,0,-69,-7,0,-3,0
1523055628669683,-1,-1,20,102,17,4,-2,-9
1523055628670688,0,-1,-13,-43,-14,-7,17,4
1523055628670688,16,9,0,-7,6,18,5,28
1523055628671690,1,-3,1,39,14,0,-3,4
1523055628671690,-5,1,-1,-57,-8,-9,-13,-2
1523055628682216,-5,-1,-1,-3,-9,0,-11,-21
1523055628682216,-8,-10,-25,-70,-16,-5,6,-9
1523055628690791,-1,-1,14,47,1,-2,1,7
1523055628690791,11,3,-15,20,7,0,-4,3
1523055628698759,-7,4,38,6,3,-2,-6,1
1523055628698759,-5,-3,-13,-12,-3,-4,-8,-8
1523055628712851,2,1,-12,-11,-14,-6,0,-5
1523055628712851,-2,-4,2,19,6,8,9,0
1523055628720824,2,-2,-9,1,-8,-6,2,6
1523055628720824,1,5,5,-35,-3,-2,-2,-3
1523055628737369,-1,0,14,70,11,2,-3,3
1523055628737369,-3,0,8,19,-4,-2,3,-6
1523055628743910,1,-1,-14,-27,-2,-6,-6,9
1523055628743910,1,1,10,21,4,2,3,-8
1523055628756915,-8,-5,-34,-14,4,-1,-3,-15
1523055628756915,0,-3,-14,-52,-16,-5,4,17
1523055628799026,-3,0,28,23,4,2,-1,-5
1523055628799026,-4,-3,10,22,2,-1,-7,-3
1523055628803037,-2,-5,-22,-27,-4,-1,4,-6
1523055628803037,3,1,6,-5,-2,2,6,3
1523055628804041,-1,0,-17,-22,-1,1,-1,2
1523055628804041,0,0,4,23,3,-3,-1,4
1523055628804541,-3,0,8,14,-5,-3,-6,-8
1523055628804541,-6,-5,-1,16,2,1,-5,-4
1523055628809555,0,-4,-20,-13,-3,2,2,1
1523055628809555,3,-2,-4,-18,-2,3,3,0
1523055628818579,0,9,9,-6,-2,-3,-3,10
1523055628818579,-4,-7,-20,7,1,0,6,-8
1523055628824598,2,-2,-4,-1,-2,-2,-3,3
1523055628824598,-2,-2,-7,-7,-3,2,-1,-3
1523055628839169,-1,-2,0,-6,2,-2,-3,1
1523055628839169,-3,2,-8,-3,-2,2,2,-12
1523055628846686,-1,-3,16,0,1,1,1,10
1523055628846686,0,-5,-19,-12,-3,-5,-2,-10
1523055628870216,2,2,21,12,-2,-1,0,0
1523055628870216,2,-2,-3,-9,1,-4,-4,10
1523055628870718,-4,-1,-23,-4,-1,-2,-3,-17
1523055628870718,0,1,11,0,-2,-2,9,6
1523055628885259,-8,-11,-41,-7,-2,-2,-4,-18
1523055628885259,-9,0,37,-6,-3,-6,-20,7
1523055628885756,9,6,2,8,1,0,15,19
1523055628885756,-7,-5,-6,-3,-2,-1,-16,-27
1523055628907348,-2,-6,-23,0,0,0,16,12
1523055628907348,-6,-2,-4,-8,-4,-2,6,-11
1523055628908374,-3,5,7,1,-5,-8,-54,-52
1523055628908374,8,1,-11,-6,-3,-10,4,67
1523055628929874,11,3,26,1,9,8,10,21
1523055628929874,-3,-1,-3,2,0,-1,2,2
1523055628930912,-7,-6,9,-1,2,1,17,-13
1523055628930912,-8,-5,-14,-6,-8,-1,-2,-35
1523055628944951,-1,13,37,5,0,-2,-13,-8
1523055628944951,4,0,-9,-2,-2,1,4,9
1523055628945953,0,0,4,2,3,-1,-1,-3
1523055628945953,-2,-2,3,-4,-4,-1,-1,-3
1523055628967473,2,-1,-17,4,2,-1,2,13
1523055628967473,7,5,21,-3,-4,-4,0,3
1523055628968477,-4,-5,-18,-9,-3,2,9,-7
1523055628968477,3,3,11,5,3,0,0,7
1523055628990070,-1,-1,-2,1,-2,0,-6,-8
1523055628990070,2,0,-13,-37,-7,-5,-13,-9
1523055628991037,2,-7,0,41,10,9,8,18
1523055628991037,0,11,48,8,5,1,5,6
1523055629004573,-2,-6,-29,-82,-18,1,1,-11
1523055629004573,2,1,17,92,14,2,-5,-3
1523055629012648,-4,-6,-15,-51,-13,-8,-1,17
1523055629012648,-1,6,25,57,5,3,1,-12
1523055629027670,-2,-3,8,10,-2,-7,-8,-9
1523055629027670,-1,-4,-27,-117,-5,3,3,3
1523055629028135,-5,1,15,87,8,-3,-4,-3
1523055629028135,-2,2,1,-7,-5,-5,-7,-10
1523055629050210,-3,-8,-30,-36,-10,0,2,4
1523055629050210,2,-5,2,-12,-10,5,14,7
1523055629050696,6,7,0,-2,3,-4,-5,6
1523055629050696,-7,-10,-3,10,4,-5,-2,-8
1523055629064232,-4,3,8,-24,10,4,-9,-8
1523055629064232,-1,-3,8,79,4,3,0,-2
1523055629072784,-2,-6,-33,-94,-23,-11,0,0
1523055629072784,7,6,20,99,16,7,4,10
1523055629087295,-4,-6,-4,-13,-11,-14,-8,-7
1523055629087295,4,3,-18,-5,-2,-8,-8,7
1523055629088296,-11,-6,3,2,-3,0,-5,-15
1523055629088296,-1,-4,4,-35,-4,2,0,-1
1523055629109890,-1,1,-1,52,10,2,0,-4
1523055629109890,1,3,5,-25,-5,-4,-6,-3
1523055629110894,-4,-1,4,31,6,0,-2,11
1523055629110894,-1,-4,-28,-52,-9,-1,2,-4
1523055629124392,-3,-4,8,3,3,3,1,-3
1523055629124392,2,-6,-32,11,2,-1,-1,5
1523055629132412,-5,-3,3,-4,-7,-3,-5,-13
1523055629132412,-3,-2,-13,-45,-3,-4,-4,-6
1523055629147490,2,2,7,37,5,0,-3,2
1523055629147490,-5,-4,-8,-14,4,-4,-1,-1
1523055629148492,3,1,-8,-21,-4,1,1,-3
1523055629148492,1,-3,-10,-1,-8,-2,-3,5
1523055629170014,-5,0,21,4,-3,-3,-5,-6
1523055629170014,-4,4,15,18,5,6,1,-9
1523055629171017,-1,-3,-4,-30,-10,-11,1,3
1523055629171017,4,2,12,-23,5,5,8,5
1523055629184551,-1,-2,-1,14,-4,-3,0,2
1523055629184551,-4,-3,-3,-23,-7,-6,-4,-7
1523055629192574,-1,2,4,55,8,3,0,0
1523055629192574,-5,-3,6,20,-2,-4,-8,-9
1523055629207615,0,-1,-17,-41,-4,-1,3,1
1523055629207615,-1,-7,-2,2,-5,-4,-2,-2
1523055629208116,3,1,8,-6,2,4,4,5
1523055629208116,1,-1,-33,-26,-6,-1,-1,-2
1523055629230209,1,4,16,39,-2,-2,-1,2
1523055629230209,-2,-3,-13,-23,-4,-1,-1,-8
1523055629230676,2,1,4,-22,-6,-1,2,5
1523055629230676,-1,0,-8,7,1,1,-1,-3
1523055629244210,1,-3,-7,-28,-8,-3,-2,1
1523055629244210,1,1,5,18,4,2,1,3
1523055629253236,-3,1,-7,0,4,1,2,-1
1523055629253236,-1,-1,0,0,1,4,8,-1
1523055629267774,-1,-4,-17,9,2,2,0,-5
1523055629267774,-1,-2,13,6,-4,-5,-2,0
1523055629268275,3,-1,1,-7,1,4,1,4
1523055629268275,-4,-5,-15,-19,-2,-4,-6,-10
1523055629289870,0,0,1,13,3,-1,3,17
1523055629289870,-2,1,9,14,3,3,2,-5
1523055629290873,-4,-3,2,-11,0,1,15,-5
1523055629290873,1,-2,-5,-2,-1,-3,-12,-7
1523055629304370,-7,-5,-5,12,3,-1,-22,-11
1523055629304370,-2,4,8,-16,-5,0,18,5
1523055629312391,-2,-4,-4,3,1,5,42,-3
1523055629312391,-2,5,8,-1,-5,1,-45,-28
1523055629327431,16,0,2,-2,0,-5,28,61
1523055629327431,11,3,0,0,4,7,-11,51
1523055629328436,-8,2,7,4,2,1,-12,-31
1523055629328436,-14,-8,-9,0,0,9,124,-20
1523055629350028,-1,-5,-4,-14,-16,-23,-111,-77
1523055629350028,14,8,5,10,4,-8,31,84
1523055629351031,3,0,3,7,4,7,26,6
1523055629351031,-10,-8,-17,-15,-3,-6,-12,-8
1523055629364530,-8,1,36,7,0,14,38,-21
1523055629364530,-14,-14,-18,-4,-5,-4,-5,-46
1523055629372551,4,5,-8,-1,-3,-7,-40,8
1523055629372551,2,-3,4,-3,2,2,-7,18
1523055629387626,0,5,-7,-1,-2,-4,12,7
1523055629387626,-1,-1,6,-1,4,0,-20,-17
1523055629388594,1,4,8,0,-8,0,3,6
1523055629388594,5,1,-2,1,1,-3,-23,8
1523055629410151,-3,1,-17,0,1,2,17,3
1523055629410151,-9,-10,2,-4,7,6,-1,-19
1523055629410654,-4,-3,-3,-16,-5,-6,-13,-3
1523055629410654,6,0,-13,-10,-4,-2,-7,13
1523055629433213,2,4,-7,-27,-7,-6,10,10
1523055629433213,0,7,43,94,31,7,5,-20
1523055629434216,-4,-12,-34,-50,-17,-9,-11,-2
1523055629434216,0,0,1,-35,-2,-1,-9,7
1523055629447752,0,-3,-2,-9,3,4,12,4
1523055629447752,-9,-6,2,41,-9,-6,-15,-22
1523055629448253,3,3,13,10,8,-2,-1,6
1523055629448253,0,2,-10,-29,-5,-2,-2,0
1523055629469812,-3,-1,2,19,-3,-3,2,-1
1523055629469812,-1,-6,-48,-60,-18,-4,-1,-13
1523055629470816,-1,-2,18,31,9,0,-8,13
1523055629470816,4,2,11,40,0,-4,-3,14
1523055629493375,-3,-5,-5,-4,1,0,-3,-23
1523055629493375,-6,-2,-13,-66,-11,-5,-7,-9
1523055629493876,-2,-5,-1,29,-3,-1,5,-5
1523055629493876,-4,0,17,27,5,-6,-7,-4
1523055629507413,4,1,10,9,-6,5,6,13
1523055629507413,5,4,-7,-27,23,21,5,0
1523055629508416,-6,-10,-23,-13,3,-3,-6,-5
1523055629508416,4,13,31,-29,2,-3,-4,-25
1523055629530013,-11,-11,-7,55,-9,-6,12,35
1523055629530013,-3,-2,-13,-12,3,3,-7,-18
1523055629530977,5,5,3,-12,-11,-2,4,3
1523055629530977,0,-4,-2,14,15,1,-7,2
1523055629553539,-2,-3,5,-11,9,-1,-3,-13
1523055629553539,0,1,-9,1,-18,-5,7,4
1523055629554044,1,0,-8,7,4,-9,-3,6
1523055629554044,-1,1,3,-27,-11,-3,-2,1
1523055629567571,0,-1,-5,16,10,3,3,-7
1523055629567571,-1,-2,8,6,-7,-2,1,8
1523055629568574,-1,0,-3,1,-2,-2,-7,-11
1523055629568574,-1,-1,6,-5,-8,-4,1,7
1523055629590132,3,1,1,-15,6,7,1,3
1523055629590132,-1,0,10,10,-1,-5,0,-6
