timestamp,x,y,z
1523148366165512,-5.6875,2.625,-0.125
1523148366187069,-6.1875,2.9375,-0.0625
1523148366203114,-4.4375,-0.4375,-2.5
1523148366225673,0.5625,-3,-4.375
1523148366246736,13.75,-2.0625,-4.0625
1523148366262771,19.875,-5.9375,0.4375
1523148366285832,13.1875,-9.3125,-0.25
1523148366306892,6.75,-7.375,-2.25
1523148366322782,8.25,-4.375,-3.625
1523148366345839,1,0.3125,-2.9375
1523148366367137,0.375,-1.8125,-3.9375
1523148366383437,0.875,-2.8125,-4.4375
1523148366406497,-4.6875,2.5,0.625
1523148366427237,-3.875,5.125,1.25
1523148366443097,-5.5625,2.1875,-0.6875
1523148366465659,-5.9375,2.9375,-0.8125
1523148366488216,-4.1875,2.125,-0.625
1523148366503060,-3.1875,1.25,0.375
1523148366525932,-4.125,1.0625,0.9375
1523148366548491,-2.625,2.4375,1.875
1523148366563530,-3.0625,3.0625,2.4375
1523148366585914,-1.625,2.625,1.75
1523148366608472,-2.0625,2.75,2.3125
1523148366622510,-3.1875,4.3125,3.375
1523148366645688,-3.4375,5,3.875
1523148366668252,1.5625,3.25,5
1523148366682788,11.6875,-3.4375,1.75
1523148366713372,1.375,-5.8125,-3.4375
1523148366728411,0.25,-2.375,-4.1875
1523148366742447,2.5,-3.875,-3.125
1523148366765828,3.8125,-4.375,-3.375
1523148366788160,3.25,-0.75,-3.875
1523148366809712,-6.4375,0,-2.3125
1523148366826028,-11.3125,0.4375,-1.375
1523148366848088,-8,1.625,-1.1875
1523148366862625,-1.875,4.1875,-0.9375
1523148366885975,-1.375,3.5,0.375
1523148366908591,-3.875,2.375,0.25
1523148366922630,-2.125,0.25,-2.0625
1523148366946013,4.75,-0.25,-2.125
1523148366968073,6.125,0.5625,-3.625
1523148366990944,2.625,1.1875,-2.3125
1523148367005984,-0.25,2.1875,-1.9375
1523148367028545,1.5,1.625,-0.875
1523148367049598,4.1875,1.3125,-0.0625
1523148367065645,3.5625,0.8125,0.3125
1523148367088203,0.6875,0.1875,0.5625
1523148367109260,-1.625,-0.1875,0.3125
1523148367125806,-2.6875,1.375,0.625
1523148367148361,-4.0625,-0.9375,0.0625
1523148367169456,-4.5,-4.875,-1.0625
1523148367185963,-3.375,-6.625,-1.9375
1523148367208020,16.1875,-12.3125,-0.5625
1523148367229576,26.125,-16.5,-0.0625
1523148367245120,30.75,-17.625,1.5
1523148367268203,21.8125,-17,-1.5625
1523148367289316,13.5,-14.625,-5.3125
1523148367305308,13.75,-9.25,-6.375
1523148367328364,7.5625,-4.6875,-4.875
1523148367349488,-3.875,-3,-2.75
1523148367364962,-4,0.5625,-2.8125
1523148367388529,-3.25,2.0625,-1.125
1523148367410608,0,3.5625,-0.9375
1523148367425649,-2.3125,3.6875,-0.5
1523148367448211,-5.8125,2.8125,-0.375
1523148367470769,-5.125,2.4375,-0.1875
1523148367485594,-3.5,1.875,0.75
1523148367508156,-3.625,3.5,1.6875
1523148367530719,-5,5.875,2.125
1523148367545757,-6.125,8.0625,2.3125
1523148367568317,-7.9375,8.6875,2.3125
1523148367590877,-6.5,8.1875,2.5
1523148367605417,-4.5,5.625,1.3125
1523148367628878,-5.8125,4.9375,1.25
1523148367650932,-4.6875,6.9375,1.6875
1523148367664968,-1.1875,7.9375,3.1875
1523148367688531,-5.625,6.9375,3.5
1523148367710589,2.5,3.6875,5.1875
1523148367725127,7.1875,-0.25,6.0625
1523148367748189,0.625,-0.0625,4.375
1523148367770750,-3.25,-0.875,0.625
1523148367785092,-5.9375,-1.3125,-3.625
1523148367808154,-6.875,-0.1875,-5.0625
1523148367830715,-7.9375,-2,-5
1523148367845255,-3.625,-0.875,-3.9375
1523148367868164,-1.4375,1.0625,-1.9375
1523148367891074,-2.375,3.1875,-0.75
1523148367912128,-5.3125,2.4375,-1
1523148367928173,-4.375,2.6875,-0.8125
1523148367951030,-1.125,1.75,0
1523148367972086,-0.375,1.1875,0.5625
1523148367988132,1.125,0.125,2.3125
1523148368010970,1.25,-0.625,3.25
1523148368032024,2.75,0.375,4.375
1523148368048358,2.25,2.3125,3.75
1523148368071418,0,4.1875,3.0625
1523148368091973,-2.0625,3.5625,1.75
1523148368108318,-1.625,3.6875,1.4375
1523148368130877,-3.0625,5,1.75
1523148368151930,-4.375,6.625,1.3125
1523148368168476,-9.8125,4.75,0.3125
1523148368190788,-1.5625,2.5625,-1.375
1523148368212049,3.75,-1.5625,-0.5
