timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523066672616954,1,4,1,4,2,-1,0,1
1523066672616954,-1,-2,1,1,-2,-2,-4,1
1523066672627098,-1,-1,-7,2,1,-1,-2,0
1523066672627098,-1,-5,-22,-6,-1,-2,-5,-4
1523066672627098,4,11,63,-5,-7,2,14,3
1523066672627098,-8,4,-13,-1,3,-2,-3,-2
1523066672629151,-1,1,-10,5,2,-3,-10,-3
1523066672629151,2,-6,-5,4,-1,7,20,-1
1523066672629151,-2,-8,-14,-7,-4,-3,-8,-2
1523066672629151,-3,-4,-10,-12,-9,0,-2,-2
1523066672644023,1,6,4,7,5,-1,-8,-6
1523066672644023,4,4,13,-1,-3,-2,-9,2
1523066672652044,-14,-7,-19,-9,-3,1,-4,2
1523066672652044,9,-1,11,4,-3,-5,-5,-4
1523066672660065,-2,-3,-12,-6,-2,-3,-11,0
1523066672660065,-3,-1,-13,5,4,9,3,-6
1523066672674323,3,3,31,5,1,-4,-7,-3
1523066672674323,-7,4,24,-3,-2,-2,-7,-2
1523066672721482,2,0,-6,5,4,-4,-12,-6
1523066672721482,0,-3,-8,-16,-11,-7,-6,-1
1523066672722237,-8,-9,-2,2,4,6,3,-2
1523066672722237,14,15,1,0,1,4,25,2
1523066672723232,-4,-1,7,-3,0,-1,-2,-1
1523066672723232,1,5,-9,9,4,-3,-3,-1
1523066672726551,-3,-6,-2,-4,-4,-3,0,0
1523066672726551,0,-1,21,-10,-3,-4,-8,-6
1523066672733287,-4,-3,-10,0,-4,-5,-8,10
1523066672733287,-2,1,13,4,2,-1,1,-5
1523066672742300,3,4,-30,9,4,2,9,-4
1523066672742300,2,-8,-6,-1,-3,0,-4,4
1523066672748544,-14,-9,-9,-16,-12,-4,6,-16
1523066672748544,-8,0,10,3,1,-5,-5,-2
1523066672763666,4,-5,-8,-1,3,-3,-18,-4
1523066672763666,-8,7,-1,1,-2,-2,-1,5
1523066672771575,8,6,-1,3,3,4,5,6
1523066672771575,-7,-6,-11,-3,-2,6,4,-9
1523066672802721,1,7,20,0,1,-4,-1,-2
1523066672802721,0,-8,-16,-10,-7,-6,-12,1
1523066672804450,-3,0,14,1,1,3,-7,-4
