timestamp,x,y,z
1523148786696783,-0.375,0.875,-0.5625
1523148786719345,-2.5625,-0.5625,-1.9375
1523148786740401,-3.375,-1.25,-2.6875
1523148786756944,-4.1875,0.0625,-2.3125
1523148786778001,-4.125,3.75,-0.8125
1523148786794548,-4.5,2.9375,-0.0625
1523148786817104,-4.1875,2.875,-0.1875
1523148786845680,-5.8125,2.0625,1.4375
1523148786854202,-5.1875,0.6875,3.4375
1523148786877267,-6.625,-1.0625,7.6875
1523148786899322,-7.6875,0.5625,12.6875
1523148786914362,-6.8125,7.4375,13.625
1523148786936922,12.4375,12.375,6.875
1523148786959486,14.4375,-1.375,-2.0625
1523148786980541,20,-14.125,-10.1875
1523148786997084,26.8125,-22.4375,-12.9375
1523148787019642,21.5625,-25.5,-9.4375
1523148787040699,14.125,-25.125,-11.625
1523148787056742,21.5625,-23.75,2.375
1523148787079302,5.625,3.25,5.6875
1523148787100357,-1.0625,21.25,5.125
1523148787122920,-8.8125,19.6875,-0.3125
1523148787139461,0.1875,13.375,1.75
1523148787160520,-1.25,6.375,4.625
1523148787177066,1.625,1.5,3
1523148787199622,6.8125,-1.5,1.375
1523148787213659,5.0625,-2.875,-0.4375
1523148787236720,2.25,-1.6875,-2.875
1523148787259781,-0.375,1,-5.1875
1523148787273820,0.25,3.9375,-7
1523148787296880,-0.5625,6.875,-10.125
1523148787319440,-0.6875,3.875,-13.5
1523148787342004,-0.6875,-7.875,-10.9375
1523148787357042,-0.6875,-0.4375,6.5
1523148787379600,9,16.125,12
1523148787402160,-4.5625,19.3125,4.1875
1523148787417200,-2.625,12.5625,-6.0625
1523148787439762,15.6875,7.875,-6.75
1523148787460315,12.1875,-3.125,-5.125
1523148787476357,10.0625,-7.1875,-3.875
1523148787499420,25.1875,-6.4375,-3.25
1523148787520478,30.875,-12.0625,-3.875
1523148787537020,27.75,-15.4375,-5.75
1523148787559580,33.3125,-18.4375,-7.9375
1523148787580637,26.3125,-23.125,-9.3125
1523148787596177,18.3125,-12.3125,16
1523148787619741,20.0625,18.3125,13.8125
1523148787647816,-5.4375,30.5,14.875
1523148787656336,-3.5,28.6875,5.625
1523148787679899,-3.75,24.25,7.3125
1523148787700455,-13.125,20.25,7.0625
1523148787716498,-8.3125,18.375,5.875
1523148787739558,3.9375,16.4375,5.0625
1523148787760614,6.4375,17.3125,3.6875
1523148787776155,1.375,17.25,5.4375
1523148787799717,-1.875,6.25,8.75
1523148787821777,-1.5625,5.5,15.625
1523148787836316,-1.5,15.4375,17.6875
1523148787859380,-2.6875,25.375,16.3125
1523148787881937,-8.375,28.125,8.4375
1523148787896477,-8.5,21.4375,4.5
1523148787919036,-2.6875,11.375,3.625
1523148787942100,0.9375,1.9375,0.625
1523148787963153,6.9375,-2.0625,-5.4375
1523148787979697,23.375,-2.75,-10.9375
1523148788001756,40.875,-7.8125,-10.25
1523148788022811,48.5,-14.5625,-9.125
1523148788039356,50.375,-22.75,-11.625
1523148788061915,60.3125,-25.75,-16.5625
1523148788082972,77.25,-10.5625,-7.875
1523148788099516,31.125,15.6875,17
1523148788122078,-8.1875,31.875,11.125
1523148788143136,-16.375,31.9375,-3.125
1523148788159685,6.1875,22.3125,-6.625
1523148788181735,6.375,12.8125,-3.6875
1523148788202791,-2,4.125,-0.875
1523148788219334,4.375,-0.8125,-1.4375
1523148788241896,17.1875,-2.25,-2.25
1523148788256433,19.6875,-0.25,-2.8125
1523148788279495,7.875,1.1875,-2.9375
1523148788302055,-1,3.5625,-2.1875
1523148788323112,-2.9375,2.5625,0.4375
1523148788339657,-2.25,7.9375,3.75
1523148788361713,-2.9375,12,5.625
1523148788383273,-9.3125,10.8125,3.1875
1523148788399314,-7.9375,5.3125,-0.8125
1523148788421874,-1.125,-0.0625,-5.4375
1523148788442930,4.125,-7.25,-8.3125
1523148788459474,17.1875,-12.625,-6.25
