timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523045881378997,-1,-1,1,9,0,-1,-2,-2
1523045881378997,1,1,-1,-17,-3,-1,3,1
1523045881379777,9,0,-3,7,-1,0,-2,-1
1523045881379777,-22,-8,-7,-7,-7,-2,0,-1
1523045881382237,-1,1,1,2,1,0,-1,-4
1523045881382237,-1,0,1,-1,-6,-3,-2,-1
1523045881382783,4,2,0,-6,4,1,-1,0
1523045881382783,3,1,-1,16,-1,1,1,-1
1523045881389896,-3,1,8,-16,-5,-4,-2,0
1523045881389896,-1,-1,-9,2,-2,2,-1,-1
1523045881396215,-5,-4,-9,-17,-7,-5,-2,-1
1523045881396215,1,1,1,5,2,1,-1,1
1523045881410980,-9,-1,1,0,6,1,0,0
1523045881410980,11,2,5,-1,-6,-5,-2,1
1523045881418885,-4,-3,-5,-5,-4,-2,-1,-2
1523045881418885,3,-1,-2,-7,3,1,-1,1
1523045881426904,2,-2,-3,-15,-2,-1,0,0
1523045881426904,-7,-1,16,34,4,-1,-2,-4
1523045881449170,-4,-2,-9,-6,-2,-2,-1,1
1523045881449170,2,-1,-3,2,0,-6,-4,-3
1523045881489068,-1,0,2,4,0,-4,-1,-3
1523045881489068,-1,-1,-1,9,1,-1,-1,-1
1523045881490072,-2,-2,0,-22,5,-1,-2,0
1523045881490072,2,1,-2,16,-4,0,-3,2
1523045881493128,2,-1,6,1,1,1,0,-11
1523045881493128,-7,3,0,2,0,-1,-2,-1
1523045881494086,2,-1,-12,-18,-8,-5,-3,-2
1523045881494086,-3,0,4,3,5,1,0,-3
1523045881501101,1,-5,-11,-9,-8,-4,-2,1
1523045881501101,2,-2,8,17,16,6,3,1
1523045881508126,-2,-2,-7,-7,-4,0,1,-2
1523045881508126,4,1,-9,-11,-1,-1,-1,-1
1523045881515188,-3,1,11,24,3,-1,-2,1
1523045881515188,-2,-2,-3,-29,-7,-4,-1,-1
1523045881530436,-1,-1,-2,13,2,-1,-1,0
1523045881530436,-3,-1,-1,7,2,3,1,-1
1523045881538236,-2,-1,-4,-9,-1,0,-1,2
1523045881538236,-3,-2,-7,-13,-8,-3,-3,-1
1523045881561261,2,2,21,21,-1,1,-1,-1
1523045881561261,-4,-5,-19,-18,-5,-6,-2,-2
1523045881562260,-3,-3,-2,3,6,4,1,0
1523045881562260,4,-1,-1,-4,-2,0,-2,0
1523045881575595,-1,0,1,-6,-3,-1,-1,-2
1523045881575595,-1,0,11,14,-2,-3,-2,-1
1523045881576298,-2,-1,-5,-4,-3,-2,-1,0
1523045881576298,1,1,-4,6,-3,-1,1,-1
1523045881598617,-4,-1,9,-1,-8,-2,-2,-2
1523045881598617,-3,-5,-17,-16,-3,-3,-2,-2
1523045881599361,1,1,-1,-2,4,-1,-1,3
1523045881599361,3,1,2,-3,-3,-2,-3,-2
1523045881621421,-24,-8,-4,4,3,-1,-2,-2
1523045881621421,3,0,7,2,2,2,1,-1
1523045881622422,0,0,2,-7,-5,0,-2,-2
1523045881622422,3,1,-1,6,0,-2,0,1
1523045881635458,5,1,-4,-9,2,2,1,0
1523045881635458,-5,1,6,8,-12,-5,-1,-2
1523045881636468,-1,1,-1,-3,3,4,-1,1
1523045881636468,-3,-3,-1,-5,-2,0,-1,-2
1523045881658519,3,2,5,11,-2,0,0,-1
1523045881658519,-1,-1,0,3,1,0,1,0
1523045881659521,0,-1,-7,-8,-2,0,0,-2
1523045881659521,0,-1,-1,-12,-2,-1,-2,0
1523045881681847,2,-1,-2,11,1,0,1,-2
1523045881681847,-1,0,3,4,8,2,-1,0
1523045881682582,-2,-2,-4,-4,-8,-4,-1,-1
1523045881682582,-4,-3,-1,-2,-4,-2,1,-2
1523045881695657,0,-3,-6,-7,-3,-3,-2,1
1523045881695657,0,1,6,0,9,2,0,-2
1523045881696621,-4,-6,-26,-23,-8,-5,-2,-3
1523045881696621,-1,-1,1,12,-7,-2,0,-2
1523045881718679,4,0,-6,0,-2,-2,1,-1
1523045881718679,0,3,10,1,-4,0,0,0
1523045881718679,2,1,0,-8,6,2,-1,0
1523045881718679,-4,-6,5,11,-6,-2,-3,-3
1523045881741912,2,-1,-7,3,1,-3,-2,0
1523045881741912,-2,-4,-10,-12,2,-2,-2,-3
1523045881742745,-1,1,6,8,-4,-3,-1,0
1523045881742745,0,0,-3,-14,-8,0,1,1
1523045881756078,-1,1,6,3,6,4,-1,1
1523045881756078,-2,-1,0,0,-1,-2,-2,-2
1523045881756780,-1,0,2,-7,-8,-2,0,1
1523045881756780,-3,-3,-4,10,5,-3,-1,-8
1523045881777837,1,-1,2,-14,-5,-5,-3,0
1523045881777837,1,-1,-6,13,5,2,1,0
1523045881778840,-1,-1,1,-1,-2,0,1,-3
1523045881778840,0,2,5,9,-4,-1,-1,3
1523045881800896,-1,0,-5,1,1,1,-2,-1
1523045881800896,-1,-1,5,2,-2,-2,-2,-1
1523045881801898,0,-1,4,3,5,-2,0,0
1523045881801898,-1,0,-4,-9,-2,-1,-1,-1
1523045881816343,0,1,2,1,8,3,-1,-2
1523045881816343,-1,-2,-4,-9,-7,-2,-2,-1
1523045881816937,-1,0,6,5,-1,1,0,-2
1523045881816937,-1,0,-17,-1,-1,-2,0,0
1523045881838426,-2,-1,-10,3,-3,-3,0,-1
1523045881838426,0,-1,4,-13,-5,-2,-1,-1
1523045881839001,-1,-1,-4,0,2,0,-1,-3
1523045881839001,-1,2,10,12,4,-1,-1,0
1523045881862138,1,0,0,7,0,-4,0,0
1523045881862138,-1,-2,-10,-39,-3,6,1,0
1523045881862138,-3,-2,10,8,-10,-5,-2,-2
1523045881862138,-1,-1,0,-2,1,-1,-1,0
1523045881876481,0,-1,3,6,2,-1,-3,-2
1523045881876481,0,-1,12,9,-2,-3,-2,-2
1523045881876481,-2,-1,-4,-3,0,-2,-1,-1
1523045881876481,0,-1,-11,-17,0,-1,-2,-1
1523045881898500,0,0,8,17,1,0,0,-1
1523045881898500,2,2,-12,8,1,-4,-1,0
1523045881899161,-1,-5,-19,-20,-8,0,-1,-1
1523045881899161,0,1,10,14,2,4,2,0
1523045881921301,-2,0,12,-9,-7,-3,-1,-1
1523045881921301,-3,-4,-44,-4,-3,-1,0,1
1523045881922218,0,-1,23,11,12,4,-2,-1
1523045881922218,0,2,23,-10,2,-2,-2,-1
1523045881936318,0,-1,-26,-5,-6,0,1,0
1523045881936318,-2,-1,18,6,-2,-3,-2,-2
1523045881936318,-1,0,-5,-14,-5,-4,-1,0
1523045881936318,0,-3,-5,7,4,0,0,-1
1523045881958535,0,4,26,-7,1,3,1,0
1523045881958535,-2,-3,-16,-6,-11,-4,-4,-1
1523045881966564,0,-2,-2,11,0,-4,0,0
1523045881966564,0,1,0,-7,4,1,0,-1
1523045881981650,-1,-3,-12,5,-3,-5,-5,-2
1523045881981650,2,4,45,4,0,5,6,1
1523045881982384,1,-3,-51,-1,4,1,-1,0
1523045881982384,1,-1,-9,0,-5,-2,0,0
1523045881996465,-3,-6,7,-6,-8,-3,-4,-3
1523045881996465,0,1,6,0,-1,-3,-4,-1
1523045881996465,0,2,10,5,14,5,1,0
1523045881996465,1,0,-1,-17,-5,-3,-1,-1
1523045882018477,2,0,-11,19,-1,-1,-1,-1
1523045882018477,3,1,-6,-16,1,-1,-2,-1
1523045882019719,-7,-3,3,3,-6,-2,0,-1
1523045882019719,-1,-3,-6,9,0,-4,-4,-3
1523045882041744,-1,-2,1,-3,4,2,0,0
1523045882041744,3,0,-3,-8,-5,-1,-1,-1
1523045882042542,0,1,7,-3,0,-2,-1,-1
1523045882042542,-3,-2,0,8,-1,-1,-1,-2
1523045882055841,-1,0,-5,-17,-3,-3,-3,-2
1523045882055841,-3,-3,-2,27,4,1,-1,-1
1523045882056577,2,0,1,-7,-6,-1,-1,-1
1523045882056577,-2,0,0,-18,-8,-2,-2,-1
1523045882078917,0,-1,-2,-4,5,2,1,1
1523045882078917,-2,-1,0,-2,1,-2,-1,-1
1523045882078917,-3,-6,-9,30,-4,-6,-5,-2
1523045882078917,1,-2,-2,-5,-15,1,-2,-1
1523045882101697,-1,0,-6,-11,9,-10,-8,-2
1523045882101697,-1,-1,3,2,-4,1,1,2
1523045882102700,1,3,7,-5,5,5,6,1
1523045882102700,0,-2,-6,0,5,6,3,2
1523045882115816,-2,-2,-4,3,-7,0,0,-3
1523045882115816,-3,-3,1,2,0,-7,-7,-1
1523045882123022,-1,0,5,18,0,-5,-5,-3
1523045882123022,-1,-1,-9,-26,-3,-1,1,-2
1523045882138842,-3,0,2,13,0,1,0,-1
1523045882138842,-1,-2,-6,-6,-2,-2,0,-2
1523045882138842,-3,-2,2,-1,-7,-3,0,-1
1523045882138842,-3,-2,5,-1,11,-3,-4,-1
1523045882162130,0,-2,-6,-21,-23,-5,0,-1
1523045882162130,-3,-2,1,16,6,-1,-2,-2
1523045882162130,0,0,-4,1,4,2,6,1
1523045882162130,1,-1,-6,6,-12,8,3,3
1523045882175056,-1,5,19,-11,9,9,3,-2
1523045882175056,-1,-2,-5,-3,-2,-1,-6,1
1523045882183195,-3,-1,7,-13,-5,-10,-3,-7
1523045882183195,1,-2,-4,2,-19,-6,3,0
1523045882197999,-1,-2,-10,1,27,11,4,1
1523045882197999,-1,1,4,12,-1,0,-1,-1
1523045882198954,3,0,-1,-20,-5,2,1,0
1523045882198954,-3,-3,-13,-32,5,-10,-5,-2
1523045882221015,0,0,14,42,-11,-2,-2,-3
1523045882221015,-2,-2,-19,-26,-6,5,1,-2
1523045882222017,0,-7,8,-2,6,5,0,2
1523045882222017,-2,8,22,15,-11,-9,-6,-6
1523045882235051,2,-2,10,-32,6,-3,-1,3
1523045882235051,-3,-3,-11,7,-1,-11,-5,-4
1523045882243397,0,0,-18,26,-22,-34,-4,2
1523045882243397,1,1,-2,16,49,40,15,7
1523045882258403,-2,-1,1,-12,6,18,3,-5
1523045882258403,1,4,10,-15,-4,-7,5,0
1523045882259115,-2,-3,-17,-13,3,18,-2,-2
1523045882259115,1,4,44,-8,-31,-16,-9,-1
1523045882281172,-3,-12,-100,23,7,-17,-4,-2
1523045882281172,-1,4,38,-8,-17,5,-2,-4
1523045882281172,-1,1,-2,-3,3,-13,-5,1
1523045882281172,-2,-4,-4,23,-1,-8,-3,-4
1523045882295564,1,1,5,-26,-6,8,1,2
1523045882295564,-1,-6,-14,5,-2,-9,-2,-1
1523045882303588,-1,2,14,-2,-10,3,-2,-2
1523045882303588,2,-1,-16,2,21,7,3,0
1523045882318271,-1,0,12,-8,-18,-9,-4,-3
1523045882318271,0,0,-5,23,-2,-16,-2,1
1523045882319275,0,3,13,-18,25,25,3,1
1523045882319275,-2,-5,-17,-10,21,15,8,-1
1523045882341489,-2,-1,5,7,1,-7,-5,1
1523045882341489,-1,-6,-2,2,-12,-2,-2,-2
1523045882341489,-2,0,-3,-22,4,0,-4,-2
1523045882341489,-3,-2,-4,19,-25,-9,-6,-2
1523045882355640,1,-1,3,2,5,0,3,-2
1523045882355640,0,1,-12,-6,23,11,2,-1
1523045882363669,0,-2,2,-13,-8,-5,-2,-1
1523045882363669,-1,-2,9,-4,2,-10,-5,0
1523045882378434,-5,-3,-3,38,-15,-6,-4,-10
1523045882378434,-2,3,5,20,4,4,-2,0
1523045882379434,-2,-4,-24,-41,-8,-7,-3,-1
1523045882379434,1,1,2,-14,-4,-3,2,-2
1523045882400494,1,-2,7,7,4,-6,-3,1
1523045882400494,3,1,-4,-56,0,10,5,2
1523045882401494,-2,-1,13,40,13,3,0,0
1523045882401494,-1,-3,29,29,-1,-9,-8,-3
1523045882415795,-9,1,-6,15,-13,-6,-3,-2
1523045882415795,-4,-1,-3,13,12,4,2,-1
1523045882423816,8,3,5,-22,6,3,2,8
1523045882423816,3,-3,-33,2,-4,-15,-21,-27
1523045882438853,4,7,25,7,-7,11,45,21
1523045882438853,7,4,-10,-85,7,1,-9,-25
1523045882438853,-13,-9,-35,-10,-5,1,8,-1
1523045882438853,-34,-11,-4,6,-10,-5,-2,6
1523045882460849,0,-2,14,42,11,-6,-25,-4
1523045882460849,23,1,-14,-55,-18,-2,2,-5
1523045882468673,-57,-8,3,64,2,8,16,6
1523045882468673,-3,4,-5,-67,-4,-9,-34,-12
1523045882483716,12,-6,-5,-34,-16,1,81,18
1523045882483716,-7,-5,6,13,1,6,-10,4
1523045882485717,12,-3,-5,-12,0,0,-14,-9
1523045882485717,6,2,12,64,18,9,17,9
1523045882506775,-9,1,-17,-22,-12,-9,-39,-12
1523045882506775,0,-4,-17,-26,9,-5,2,6
1523045882507775,15,3,10,-54,-21,-8,5,-2
1523045882507775,-2,-2,-7,13,-6,2,-3,3
1523045882520120,-2,0,18,0,19,-2,-18,-16
1523045882520120,-5,-5,-5,52,0,-3,10,3
1523045882528831,7,4,0,2,2,-7,-11,1
1523045882528831,4,-1,-5,29,-34,9,10,-3
1523045882544133,-19,1,15,17,44,9,-11,-1
1523045882544133,-2,-3,-4,-15,-15,1,4,6
1523045882545878,22,-3,10,127,16,-5,-17,-1
1523045882545878,-43,-7,-21,-95,-17,-8,9,-5
1523045882566240,46,6,-18,-73,-32,-2,32,10
1523045882566240,-14,-1,12,90,3,-3,-3,0
1523045882573952,15,6,1,-56,2,-1,2,3
1523045882573952,11,2,0,91,24,10,-5,7
1523045882580243,-10,-3,-5,-31,-7,0,-7,-11
1523045882580243,4,4,13,-11,5,-10,-60,-6
1523045882588995,-5,-3,-9,-15,-18,8,41,2
1523045882588995,18,1,-11,-18,7,-3,0,3
1523045882604278,-17,1,14,-40,-10,-5,-17,-5
1523045882604278,-1,-5,-12,11,-6,-8,0,-4
1523045882606037,-7,0,7,-14,1,1,-14,-7
1523045882606037,6,0,-1,-30,8,1,3,1
1523045882627171,4,-3,-20,-21,-3,3,-14,3
1523045882627171,-7,2,27,55,1,-4,7,0
1523045882628098,3,0,-29,-68,-4,-6,-15,-8
1523045882628098,6,2,11,53,4,1,23,11
1523045882640129,4,-4,-2,-43,-2,-9,-22,3
1523045882640129,-7,1,-2,-26,-13,10,25,-8
1523045882649154,34,3,1,-11,0,-4,37,6
1523045882649154,-64,-16,3,27,-18,-7,-27,-22
1523045882664474,5,2,-10,12,15,10,33,17
1523045882664474,0,2,11,-7,-5,-4,0,-1
1523045882665195,-8,-1,9,21,6,2,1,1
1523045882665195,23,5,-6,-29,-3,3,3,0
1523045882686530,-6,-5,2,39,-13,-16,-33,-12
1523045882686530,-12,-9,-18,12,12,3,-17,2
1523045882688255,0,9,46,10,-19,4,22,-9
1523045882688255,5,-15,-58,-100,-10,-19,20,22
1523045882700287,-7,2,11,29,3,14,63,2
1523045882700287,8,-1,5,-9,14,4,5,-2
1523045882709313,-12,-6,-14,18,-3,-12,-79,-8
1523045882709313,13,7,21,24,11,7,-30,-5
1523045882724451,1,0,9,75,-7,11,38,11
1523045882724451,1,-5,-19,-46,-10,-3,24,4
1523045882725357,-17,-3,7,-55,-7,-9,-33,-17
1523045882725357,3,0,-5,1,7,-9,-6,-6
1523045882746685,-4,-1,-6,25,4,-4,-37,-2
1523045882746685,3,1,2,16,1,-1,-14,-6
1523045882748416,-2,6,30,-2,19,12,15,9
1523045882748416,8,-4,-4,67,-9,1,-3,0
1523045882760449,-6,-6,-4,-40,-11,-13,-14,-11
1523045882760449,1,2,0,-39,-4,3,7,2
1523045882769472,0,0,42,67,23,-1,4,1
1523045882769472,2,-1,-62,-66,15,9,17,3
1523045882783509,-3,1,8,-19,-11,-10,-30,-12
1523045882783509,-5,-3,3,18,0,-7,-2,-3
1523045882790811,-2,-2,-18,-40,-12,-6,7,6
1523045882790811,5,2,30,91,5,5,-10,-7
1523045882806811,-4,-1,-9,-29,0,-3,-18,-4
1523045882806811,1,-1,-20,-42,-9,-1,-2,3
1523045882807576,-2,-3,-9,33,3,-7,22,-2
1523045882807576,5,4,16,-77,5,6,5,0
1523045882820868,-3,-3,-13,12,17,6,12,13
1523045882820868,-2,-3,31,35,-15,-3,-3,-17
1523045882828907,-5,-5,-23,-4,-11,-3,-16,-5
