timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523179563649837,1,-3,-3,-9,-11,10,20,5
1523179563649837,7,2,3,-7,-2,7,-22,8
1523179563649837,0,0,2,-3,-74,-41,-7,-8
1523179563649837,-8,0,0,14,89,33,12,-11
1523179563663870,7,0,0,8,31,11,6,21
1523179563663870,-5,-3,-6,-19,-41,-27,-9,-5
1523179563664874,7,4,2,-6,-69,-23,-4,-1
1523179563664874,-1,-3,2,25,45,11,-13,7
1523179563686929,-3,1,-1,-29,-14,1,23,-14
1523179563686929,1,-4,-5,-8,-21,-20,5,15
1523179563687932,-3,0,2,5,60,28,1,-6
1523179563687932,-2,-6,-8,-17,-51,-23,-5,-8
1523179563708987,9,2,1,3,32,15,3,30
1523179563708987,-11,-5,-10,-17,-17,-16,-7,-36
1523179563709990,-8,1,0,-3,34,9,13,-6
1523179563709990,-7,-1,2,16,-51,-36,-31,-15
1523179563724027,5,0,2,-24,11,11,3,14
1523179563724027,2,-2,-1,24,-46,-15,-10,3
1523179563725030,-1,-5,-5,0,9,3,-5,-3
1523179563725030,6,4,-2,-21,-2,0,2,4
1523179563747092,-2,-2,2,2,18,6,0,-2
1523179563747092,-2,-7,-6,8,88,14,7,0
1523179563748096,-6,-4,-2,-3,-20,8,-28,-12
1523179563748096,0,5,-4,-9,25,-13,-2,5
1523179563769149,-1,-3,1,3,-33,-9,0,1
1523179563769149,0,4,8,52,47,22,4,4
1523179563770150,3,0,1,6,-13,12,1,11
1523179563770150,-1,-3,0,6,69,-2,-1,-4
1523179563784188,-2,0,-4,-19,9,19,5,0
1523179563784188,-9,0,1,-12,-34,-15,-16,-16
1523179563785191,14,0,-1,-4,0,-6,1,34
1523179563785191,-11,1,6,6,-46,-21,5,-29
1523179563806247,7,3,7,60,89,49,-28,17
1523179563806247,2,0,-7,-28,-13,3,46,-3
1523179563807249,-6,-1,-4,-15,7,-10,-5,3
1523179563807249,5,-2,-1,-1,-9,32,6,3
1523179563829309,-10,-8,-7,-16,0,-11,6,-21
1523179563829309,7,4,5,1,-50,-13,-27,11
1523179563830316,-2,0,-1,29,8,-3,0,-4
1523179563830316,-3,0,-1,-6,-43,1,8,-9
1523179563844583,6,-3,-5,-18,-13,-26,4,16
1523179563844583,-14,1,4,16,64,9,-11,-22
1523179563845349,2,-3,-4,-38,-45,-7,7,-2
1523179563845349,1,0,-1,13,12,12,-5,8
1523179563866414,3,5,5,-8,5,-1,5,5
1523179563866414,0,-11,-13,-33,-24,-7,-1,16
1523179563867409,-6,6,14,51,39,15,14,-33
1523179563867409,2,-1,1,18,20,26,13,8
1523179563889468,-6,-6,-10,-17,6,-11,-12,-10
1523179563889468,1,2,-5,-25,-19,1,0,-7
1523179563890470,-4,-8,-1,-2,-5,-5,1,6
1523179563890470,2,-1,-1,8,35,-12,-1,9
1523179563904508,6,-2,-5,-37,-86,-8,2,11
