timestamp,x,y,z
1523206961519125,-14.25,-13.8125,1.375
1523206961542185,-4.125,-15.3125,1.9375
1523206961565248,11.1875,-18,-0.375
1523206961580289,17.875,-19.8125,1.3125
1523206961602347,32.875,-16.375,5.75
1523206961626595,46.6875,-5.8125,10.875
1523206961641490,43.9375,-2.75,7.5625
1523206961692677,40.0625,-1.0625,3.625
1523206961702611,27.3125,-0.375,-4.125
1523206961705654,19.4375,2.9375,1.625
1523206961723021,16.625,4.5,0.875
1523206961737705,10.4375,2,2.3125
1523206961760766,8.75,-0.9375,-4
1523206961805169,18.75,-4.75,-11.6875
1523206961815298,22.1875,-8.3125,-12.9375
1523206961820928,14.5,-11.1875,-16.5625
1523206961843208,14.1875,-15.9375,-17.25
1523206961858226,14.375,-16.5,-14.875
1523206961888268,13.8125,-12,-7.8125
1523206961910362,15.6875,1,5.1875
1523206961926206,13.6875,10.9375,3.8125
1523206961949269,2.375,15.0625,12.25
1523206961963305,10.0625,15.125,12.75
1523206961986366,26.75,25.3125,22.375
1523206962009428,19.125,32.3125,21
1523206962023472,4.3125,28.9375,17.0625
1523206962046526,15.3125,28,14.5625
1523206962068584,13.6875,24.9375,12.8125
1523206962090803,23.375,17.75,11.5625
1523206962106686,26.875,14.875,10.25
1523206962128987,27.5625,13,8.1875
1523206962150851,23.6875,12.875,6.9375
1523206962166852,20.25,13.75,4.375
1523206962188904,9,16.1875,2.8125
1523206962210160,3.875,19.125,0.8125
1523206962228008,2.5,18.25,-0.6875
1523206962249067,3.5625,15.4375,-0.875
1523206962263271,1.25,9.3125,0.0625
1523206962286162,-4.75,3.75,1.125
1523206962309223,-3.875,1.3125,2.0625
1523206962323262,-4.375,2.3125,2.625
1523206962354346,-5.1875,2.375,1.375
1523206962369385,-6.875,1.1875,0.375
1523206962383421,-7.25,1.1875,0.375
1523206962406482,-8.3125,2.4375,0.25
1523206962428543,-8.6875,3.875,0.375
1523206962450833,-6.8125,4.75,0.875
1523206962466643,-6.3125,3.1875,1.4375
1523206962488903,-6.9375,1,0.6875
1523206962510820,-7.3125,1.625,-0.375
1523206962526805,-7.0625,3.5,-0.4375
1523206962548860,-6.4375,3.75,-0.25
1523206962569916,-6.375,3.25,-0.3125
1523206962586961,-4.625,4.3125,0.75
1523206962609021,-4.1875,5.1875,1.5625
1523206962630076,-3,5.3125,2.125
1523206962646119,-1.25,5.0625,1.8125
1523206962669180,-1.1875,4.4375,1.8125
1523206962690634,-0.8125,3.875,1.1875
1523206962706524,1.6875,3.4375,1.625
1523206962729341,1.4375,2.75,1.9375
1523206962750724,0.5,1.875,1.1875
1523206962766438,0.75,2,0.6875
1523206962788505,1.75,1.875,0.5
1523206962811568,0.4375,0.8125,0.625
1523206962833878,0.125,0.5625,0.375
1523206962848659,0.375,0.5625,0.4375
1523206962871725,-0.875,0.125,0.5625
1523206962893776,-0.9375,-0.4375,0.4375
1523206962915850,-1.125,-0.8125,0.625
1523206962931880,-1.0625,-1.5,-0.375
1523206962953980,-0.8125,-2.125,-1.3125
1523206962974995,-0.5,-1.5,-1.25
1523206962991296,-0.25,-0.5,-0.75
1523206963014099,0.125,0.1875,-0.3125
1523206963035156,0.5625,0.5625,0.3125
1523206963051199,0.5,0.25,0.625
1523206963074258,0.5625,-0.375,-0.125
1523206963095313,0.25,-0.875,-0.5625
1523206963111355,0.1875,-0.25,-0.875
1523206963133670,-0.0625,0.1875,-0.5
1523206963155684,-0.4375,-0.6875,-0.625
1523206963171517,-1.25,-0.9375,-1.125
1523206963193962,-1.125,-1.25,-1.25
1523206963215699,-2.25,-1.9375,-0.8125
1523206963231678,-2.3125,-3.125,-1.875
1523206963253919,-2,-2.5,-2.0625
1523206963275054,-0.4375,-0.6875,-1.8125
1523206963291843,0.4375,0.5625,-0.75
1523206963297109,-0.5625,-0.0625,-0.125
1523206963318906,-1.1875,-0.4375,0.1875
1523206963342231,0.25,0.3125,0.75
1523206963357323,1.9375,0.5625,1.1875
1523206963380070,1.5625,0.5,0.9375
1523206963402127,0,0.9375,0.5
1523206963417166,0,1.8125,0.375
1523206963439262,-0.5,1.25,-0.25
1523206963462663,-0.875,0.1875,-0.9375
1523206963477684,-1.375,-0.25,-1
1523206963499779,-1.375,0.0625,-1
1523206963522533,-0.0625,1,-0.8125
1523206963537627,0.1875,0.9375,-0.375
1523206963559971,0.5,0.5625,0.125
1523206963582643,1.6875,0.6875,1
1523206963597074,1.1875,0.75,0.625
1523206963620093,0,1.1875,-0.25
1523206963642058,-0.8125,1.0625,0.0625
1523206963657093,-0.6875,0.125,-0.125
1523206963680137,0.1875,-0.25,-0.4375
1523206963701925,0.1875,-0.25,-0.25
1523206963716965,-0.875,-0.5,-0.5625
1523206963740062,-1.5625,-0.125,-0.5
1523206963762394,-1.5,0,-0.75
1523206963777456,0.9375,-0.375,-0.5625
1523206963799474,2.4375,-0.5625,-0.4375
1523206963822552,2.875,-0.0625,0.125
1523206963837557,2.0625,-0.25,0.0625
1523206963859653,0.8125,-1.0625,-0.4375
1523206963882692,1.125,-1.25,-0.625
1523206963897667,1,-1.375,-0.4375
1523206963919862,0.875,-0.75,-0.5
1523206963942653,1,-0.1875,-0.6875
1523206963958607,0.3125,0.1875,-1.25
1523206963979970,-0.0625,0.625,-1.5625
1523206964002723,1.9375,0.75,-1.1875
1523206964019023,3.125,0.125,-0.6875
1523206964040101,2.75,0.125,-0.9375
1523206964062105,2.0625,1.5,-0.9375
1523206964078074,0.5,1.25,-1.125
1523206964099273,0.3125,0,-1.125
1523206964122339,1.6875,-1.625,-0.6875
1523206964138286,1.9375,-3.3125,-0.1875
1523206964159463,1.8125,-2.875,-0.3125
1523206964182538,2.4375,-1.1875,-0.125
1523206964198245,0.4375,-0.25,0.125
1523206964219612,1.5625,0,-0.4375
1523206964242671,8.25,0.5,-0.625
1523206964258402,16.6875,0.75,0.6875
1523206964279766,24.1875,-2.0625,2.5625
1523206964302714,24.75,-5.0625,1.8125
1523206964319565,19.4375,-5.1875,0.375
1523206964339620,13.1875,-3.375,0.0625
1523206964361982,9.1875,-0.875,0
1523206964379727,5.8125,0.125,-0.3125
1523206964399779,3.9375,0.4375,-0.4375
1523206964422082,1.5625,0.375,0.3125
1523206964439890,-0.8125,0.25,0
1523206964458937,-2.125,0.1875,-0.3125
1523206964481998,-4.25,0.0625,-0.5625
1523206964500044,-4.9375,0.5625,-1.5
1523206964519094,-4,0.625,-1.9375
1523206964542155,-5.125,0.4375,-1.4375
1523206964560205,-5.3125,0.125,-1.0625
1523206964579255,-4.0625,-0.625,-0.625
1523206964601314,-2.375,-1,0.125
1523206964619361,-2.4375,-1.1875,0.4375
1523206964639457,-2.375,-0.25,0.5625
1523206964661514,-2.125,1,0.125
1523206964679562,0.0625,1.6875,-0.0625
1523206964699616,1.625,1.375,0.25
1523206964721673,3.1875,1,-0.4375
1523206964739722,3.5625,0.75,-0.375
1523206964759775,3,0.1875,-0.625
1523206964781833,3.125,-0.3125,-0.9375
1523206964799881,2.3125,-0.3125,-0.375
1523206964818931,1,-0.875,0.125
1523206964841995,-0.125,-0.8125,-0.3125
1523206964860041,0.25,-0.3125,-0.0625
1523206964879091,-0.0625,0.125,-0.0625
1523206964902154,-0.125,0.5,-0.25
1523206964920201,-1.125,1.1875,-0.5
1523206964941256,-1.25,1.4375,-0.8125
1523206964962660,-1.0625,0.8125,-0.75
1523206964980564,0.875,-0.1875,-0.75
1523206965000416,1.1875,-0.9375,-0.5
1523206965021858,0.4375,-0.75,0.1875
1523206965039520,-0.25,-0.25,0.25
1523206965060795,-0.8125,-0.0625,0.25
1523206965081631,-1.25,0,-0.125
1523206965099678,-1.1875,0.375,0.0625
1523206965120734,-1.25,0.8125,-0.3125
1523206965142180,-0.9375,1.3125,-0.75
1523206965159841,-1.125,1.5625,-1.1875
1523206965180895,-0.5625,1.875,-0.9375
1523206965202339,0.375,1.875,-0.8125
1523206965219999,0.8125,1.8125,-0.5625
1523206965243101,1.3125,1.8125,-0.25
1523206965262473,0.3125,1.875,0.5
1523206965280158,-0.5625,1.8125,0.6875
1523206965303221,0.375,1.625,0.8125
1523206965322610,1,1.3125,0.4375
1523206965340602,0.5,1,0.3125
1523206965362379,0.1875,1.5,0.1875
1523206965381800,0,1.8125,0.125
1523206965399477,0,0.625,-0.4375
1523206965422537,0.25,-0.4375,-0.5625
1523206965442591,0.8125,-1.0625,-0.4375
1523206965459637,0.5,-0.875,-0.1875
1523206965481696,0.4375,-0.5625,0.1875
1523206965502127,-0.8125,-0.3125,0
1523206965519798,-0.8125,-0.75,-0.4375
1523206965542980,-0.125,-0.8125,-0.5625
1523206965562264,0.625,-0.25,-0.5
1523206965579955,-0.5,0.25,-0.125
1523206965603110,-1.25,0.875,-0.375
1523206965622185,-0.1875,1.25,-0.375
1523206965640337,0.75,1,-0.4375
1523206965662175,0.5625,0.6875,-0.4375
1523206965682226,0.0625,0.625,-0.375
1523206965700274,-0.75,0.4375,-0.3125
1523206965722337,-0.8125,-0.1875,-0.4375
1523206965742675,0.0625,-0.25,-0.1875
1523206965760436,-0.5,-0.5,0.125
1523206965782493,-1.625,-0.1875,-0.125
1523206965802549,-1.25,0,-0.375
1523206965820617,-0.875,-0.4375,-0.6875
1523206965842654,-1,-0.125,-0.6875
1523206965863709,-1.75,-0.4375,-0.6875
1523206965879755,-2.625,-0.75,-1.1875
1523206965902937,-1.0625,-2.0625,-1.375
1523206965923146,-0.75,-3.375,-1.4375
1523206965939027,-0.5,-3.8125,-0.875
1523206965961404,0.5,-1.875,-0.125
1523206965982140,-0.125,-0.75,0.1875
1523206965999185,-1.6875,0.1875,-0.0625
1523206966021249,-0.4375,1,-0.25
1523206966043307,0.875,1.8125,0.375
1523206966065361,1.375,1.25,0.6875
1523206966081408,1.9375,0.6875,0.9375
1523206966102751,0.8125,0.5625,0.3125
1523206966118810,1.0625,1.0625,0.0625
1523206966141566,-0.4375,1.25,-0.0625
1523206966162932,0,0.9375,-0.3125
1523206966178964,0.4375,0.0625,-0.3125
1523206966201725,-0.3125,-0.5625,-0.75
1523206966223939,-1.4375,0.0625,-0.875
1523206966238822,-1.75,-0.5625,-0.625
1523206966261885,-0.75,-1.875,-0.625
1523206966283943,-0.375,-3.875,-0.4375
1523206966298983,0.125,-6.3125,-0.4375
1523206966322046,1.25,-7.0625,0
1523206966344104,1.625,-4.25,-0.4375
1523206966358242,-0.875,0.125,-0.3125
1523206966381205,-0.9375,2.8125,-0.4375
1523206966404264,0.5,3.875,-0.0625
1523206966418303,0.625,3.125,0.4375
1523206966441363,-0.1875,1.9375,0.3125
1523206966463426,1,0.6875,0.1875
1523206966478459,1.8125,-0.8125,-0.0625
1523206966501520,1.0625,-1.875,-0.4375
1523206966523930,0.5,-1.8125,-0.4375
1523206966538619,-0.3125,-0.875,-0.625
1523206966561680,-1.125,0.3125,-0.3125
1523206966583779,-2,0.5,-0.4375
1523206966597776,-1.1875,0.3125,-0.4375
1523206966621839,0.4375,0.5625,-0.25
1523206966643899,1.375,0.9375,0.1875
1523206966658272,1,0.6875,0.3125
1523206966680999,0.875,0.0625,0.375
1523206966704059,0.875,-0.625,0.8125
1523206966725401,1.6875,-1.625,0.6875
1523206966741287,2.1875,-1.5625,1.0625
1523206966764219,0.75,-0.875,1.125
1523206966785557,-1.625,0.625,0.75
1523206966801318,-2,1.8125,0.1875
1523206966824381,-1.125,2.125,0.375
1523206966845667,1,1.625,0.6875
1523206966861479,1.125,0.4375,0.0625
1523206966883778,0.875,0.625,-0.75
1523206966905729,0,1,-0.6875
1523206966921637,-0.625,0.5625,-0.8125
1523206966943936,0.125,0.0625,-0.4375
1523206966965157,0.3125,-0.6875,-0.0625
1523206966981200,-1.0625,-0.9375,0.3125
1523206967004262,-1.625,-0.5,0.5
1523206967025633,-2.3125,0.1875,-0.1875
1523206967047377,-1.5625,1.1875,-0.6875
1523206967063700,-0.875,1.8125,-0.0625
1523206967085750,-0.1875,1.25,0.25
1523206967101521,0.875,1.1875,0.125
1523206967123873,1.5,0.9375,-0.1875
1523206967146642,1.1875,0.5625,-0.3125
1523206967161681,0.8125,-0.1875,-0.0625
1523206967183923,1,-1.1875,0.3125
1523206967206802,0.875,-1.375,0.6875
1523206967221840,-0.4375,-1.0625,0.5625
1523206967243945,-2.4375,0.0625,-0.0625
1523206967266990,-2.25,0.6875,-0.4375
1523206967280998,-2,0.9375,-0.5
1523206967304059,-1.5625,1.5625,-0.625
1523206967326187,-1.3125,1.8125,-0.375
1523206967341161,-0.9375,1.3125,-0.625
1523206967364218,-0.5,0.4375,-0.125
1523206967386484,0.375,-0.9375,-0.375
1523206967400606,-0.375,-1.1875,-0.375
1523206967424380,-1.5,-0.625,0.0625
1523206967446436,-2.625,0.125,0.1875
1523206967460780,-2.875,0.5,0.125
1523206967483851,-1.0625,0.625,-0.3125
