timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
50643442041,2,4,6,4,1,0,1,-5
50643442041,0,-2,-3,-3,1,2,9,-15
50643444126,-1,1,2,5,4,2,-9,9
50643444126,-4,-5,-3,0,-2,-1,6,4
50643445003,-2,-1,-1,-1,1,-1,-9,-6
50643445003,8,11,3,1,-1,-1,-33,-15
50643446267,-8,-7,-12,-7,-3,0,7,-1
50643446267,3,0,6,3,-1,-1,-15,-17
50643455842,-1,-1,-1,0,0,0,-4,18
50643455842,-11,-6,-4,10,0,-1,-22,7
50643461458,39,3,-2,1,18,4,15,3
50643461458,-58,-4,-6,-29,-43,-8,-4,6
50643471393,2,-3,-5,-8,2,-2,3,8
50643471393,0,-2,-1,2,4,-3,7,-1
50643485072,-7,0,5,5,-17,-3,-22,-12
50643485072,15,-3,11,10,12,5,16,7
50643492100,10,1,-34,-4,-2,2,24,7
50643492100,-7,-2,-5,5,19,2,11,-10
50643500128,18,-3,16,-23,-33,-8,7,-9
50643500128,7,0,4,19,11,1,-8,6
50643515788,-11,0,-4,3,-4,-1,-17,-19
50643515788,10,0,-1,-1,4,2,20,13
50643521500,34,4,-4,6,10,3,2,-11
50643521500,-1,-4,-1,-9,0,-4,-23,-12
50643568379,-53,0,-17,-6,7,3,-3,8
50643568379,71,0,-11,-5,-17,-9,20,-14
50643569035,0,2,12,-3,-2,1,-41,-9
50643569035,6,-1,8,-1,6,-1,-4,-2
50643570016,10,-4,-23,10,6,1,1,-18
50643570016,-30,-6,-6,-9,-29,-4,3,20
50643570636,1,-4,-8,-21,-27,-9,14,-26
50643570636,12,1,0,-4,2,1,-5,-1
50643581402,-6,-5,14,9,3,0,-1,5
50643581402,4,3,2,11,33,7,-31,8
50643588760,8,5,2,5,4,0,2,-20
50643588760,-18,-3,-3,1,-14,-5,31,-10
50643597758,8,0,1,-4,-1,0,15,22
50643597758,-6,-1,-2,-31,4,-3,-15,5
50643611916,-3,-1,-6,16,11,2,3,12
50643611916,10,7,12,53,25,8,22,11
50643618809,-16,-4,8,-28,-21,-1,10,4
50643618809,-13,-9,-48,-99,-61,-14,-73,0
50643626257,-2,-6,5,64,9,-4,8,55
50643626257,-7,2,-2,-2,9,3,55,-4
50643641363,24,4,13,29,14,0,-16,3
50643641363,-12,10,17,31,30,7,36,0
50643648918,-8,-14,-8,2,9,-6,-34,-14
50643648918,-1,4,1,31,-37,-7,-66,0
50643657746,36,-2,-10,-63,-6,5,16,-6
50643657746,-26,6,19,25,21,4,56,-2
50643672066,2,-2,-11,-40,17,4,7,-14
50643672066,1,-6,-12,59,-18,-14,-2,-3
50643678890,2,0,2,4,-3,-7,-2,-10
50643678890,8,0,-4,66,-17,1,-4,-1
50643686445,10,11,18,-105,-2,5,44,44
50643686445,-2,-13,-16,27,21,-7,-5,10
50643701253,1,2,-10,-17,-7,0,16,41
50643701253,-3,-4,17,28,20,1,11,-29
