timestamp,x,y,z
1523053451416501,2.1875,-1.375,1.25
1523053451439064,0.4375,-1.1875,2.375
1523053451462624,-1.0625,-1.375,3.0625
1523053451479168,1.8125,-0.8125,2.1875
1523053451499221,2.75,0.3125,1.375
1523053451522785,1.625,0.4375,2.0625
1523053451546346,-0.5,-0.0625,2.5
1523053451590977,-2.125,-0.25,2.375
1523053451592970,-1.6875,0.25,2.5625
1523053451598987,0.1875,0.125,2.5
1523053451613024,0.875,-0.3125,4.125
1523053451636623,-2.3125,0.6875,0.625
1523053451656655,-2.8125,-0.9375,5.625
1523053451673191,-4.125,0.3125,4.9375
1523053451716300,0.9375,2.9375,4
1523053451725825,2.875,3.9375,3.1875
1523053451732896,1.75,3.875,2.6875
1523053451754454,-0.8125,2.25,2
1523053451776961,-3.5,0.6875,3.75
1523053451801025,2.9375,-0.0625,4.625
1523053451815564,4.875,-1.5,4.9375
1523053451838624,2.1875,-2.6875,6.5
1523053451861238,2.8125,-2.4375,4.8125
1523053451875223,7.6875,-2.625,2.75
1523053451898284,13.5,-6.9375,0.0625
1523053451920844,15.5,-13,-1.3125
1523053451941898,26.875,-21.0625,1.25
1523053451958480,15.375,-19.875,1.375
1523053451981002,-1.6875,-20.125,9.0625
1523053452002060,21.75,-8.5,4
1523053452018602,28.4375,0.5625,3.875
1523053452041218,0.0625,-4.8125,8.5
1523053452062219,-7.375,-5.5625,3.875
1523053452078263,-11.6875,-8.75,0.8125
1523053452100823,-2.8125,-7.25,0.375
1523053452123384,5.125,-1.125,-0.8125
1523053452138422,5.5,6.1875,-1.1875
1523053452161035,-3,9.25,-1.125
1523053452182037,-9.0625,10.375,-0.125
1523053452198620,-5.5,10.125,0.5625
1523053452221141,-1.375,9.1875,-0.1875
1523053452242252,-0.9375,7,-0.5
1523053452258240,-2.75,5.0625,-0.1875
1523053452280802,0.4375,3.5625,-1.6875
1523053452301910,2.4375,-0.5,-2.375
1523053452318455,3.5625,-2.375,-2.5625
1523053452340962,4.9375,-5.125,-3.625
1523053452362016,2.0625,-9.8125,-3.625
1523053452378560,8.5625,-12.4375,-3.625
1523053452401120,21.8125,-12.625,-2.8125
1523053452423681,28,-16.9375,-3.625
