timestamp,x,y,z
1523207963093662,0.0927734,-0.618652,0.782715
1523207963116722,0.0908203,-0.59375,0.790527
1523207963136775,0.0942383,-0.62207,0.782227
1523207963153819,0.103027,-0.617676,0.794434
1523207963175877,0.135742,-0.633301,0.791504
1523207963196938,0.142578,-0.60498,0.770996
1523207963212977,0.169434,-0.574707,0.770508
1523207963236040,0.154785,-0.639648,0.755859
1523207963257094,0.148438,-0.663086,0.756836
1523207963273138,0.133301,-0.646973,0.764648
1523207963296653,0.114746,-0.623535,0.768066
1523207963317684,0.136719,-0.614746,0.724609
1523207963333722,0.431152,-0.519531,0.675293
1523207963356784,0.211426,-0.620605,0.730469
1523207963380854,0.234863,-0.537109,0.775879
1523207963393883,0.152832,-0.586426,0.787598
1523207963415941,0.166504,-0.669922,0.791992
1523207963439003,0.137207,-0.59375,0.827148
1523207963453040,0.135742,-0.618652,0.861328
1523207963476099,0.128906,-0.599609,0.855957
1523207963499162,0.140625,-0.577148,0.813477
1523207963513200,0.131348,-0.544434,0.788574
1523207963536262,0.112793,-0.587402,0.776855
1523207963559362,0.10791,-0.574707,0.772949
1523207963579375,0.114258,-0.567871,0.773926
1523207963596420,0.118164,-0.578613,0.776367
1523207963618480,0.140137,-0.583984,0.783203
1523207963639780,0.130371,-0.557129,0.793457
1523207963656581,0.146973,-0.541016,0.797852
1523207963678639,0.165039,-0.536133,0.800781
1523207963692714,0.161621,-0.543457,0.828613
1523207963715980,0.15332,-0.543945,0.80127
1523207963738814,0.176758,-0.53418,0.803711
1523207963752837,0.156738,-0.538574,0.820801
1523207963775953,0.109375,-0.555176,0.827637
1523207963798960,0.107422,-0.583008,0.831543
1523207963820253,0.117676,-0.609863,0.812012
1523207963836058,0.141602,-0.623047,0.802246
1523207963859121,0.144531,-0.651367,0.790039
1523207963880211,0.15918,-0.615234,0.796387
1523207963896217,0.163574,-0.587402,0.771484
1523207963918515,0.15918,-0.575195,0.76416
1523207963940481,0.157715,-0.542969,0.765137
1523207963956380,0.162598,-0.526367,0.765625
1523207963978435,0.157227,-0.533203,0.776855
1523207963999530,0.171875,-0.507324,0.801758
1523207964016537,0.182617,-0.5,0.82373
1523207964038637,0.188965,-0.524414,0.854492
1523207964059658,0.20752,-0.528809,0.859375
1523207964076704,0.206543,-0.529785,0.861328
1523207964098757,0.202637,-0.50293,0.859863
1523207964119815,0.182129,-0.515625,0.848633
1523207964135854,0.186035,-0.523926,0.840332
1523207964158915,0.201172,-0.513184,0.830078
1523207964179971,0.19873,-0.522949,0.828125
1523207964196019,0.19873,-0.512695,0.824707
1523207964202030,0.181152,-0.525879,0.836426
1523207964224088,0.181152,-0.515137,0.824707
1523207964247156,0.182129,-0.518066,0.821777
1523207964263193,0.183594,-0.510742,0.819336
1523207964284248,0.18457,-0.514648,0.814453
1523207964306306,0.187012,-0.519531,0.814941
1523207964321348,0.178711,-0.517578,0.817871
1523207964344408,0.17334,-0.515137,0.811523
1523207964366467,0.17334,-0.513672,0.81543
1523207964381507,0.178223,-0.517578,0.812012
1523207964404570,0.171387,-0.518066,0.818848
1523207964426635,0.163086,-0.516602,0.818359
1523207964441668,0.161133,-0.504395,0.810059
1523207964464728,0.150391,-0.52002,0.817383
1523207964486824,0.157227,-0.512695,0.809082
1523207964501827,0.147949,-0.519043,0.832031
1523207964524124,0.150879,-0.516113,0.838867
1523207964546945,0.161133,-0.515625,0.848145
1523207964561987,0.169434,-0.509277,0.852539
1523207964584044,0.162109,-0.5,0.861328
1523207964607303,0.157715,-0.505371,0.867188
1523207964622327,0.164551,-0.516113,0.846191
1523207964644213,0.187988,-0.530762,0.823242
1523207964666264,0.224121,-0.524902,0.80127
1523207964681304,0.223633,-0.516113,0.794922
1523207964704365,0.191895,-0.525879,0.802734
1523207964726430,0.148926,-0.529785,0.818359
1523207964741465,0.136719,-0.526855,0.815918
1523207964764525,0.151855,-0.521973,0.813477
1523207964786583,0.177734,-0.507813,0.80957
1523207964801623,0.15332,-0.52002,0.816406
1523207964824777,0.144043,-0.507324,0.820801
1523207964846742,0.135254,-0.517578,0.825195
1523207964861785,0.14209,-0.516602,0.836914
1523207964883841,0.149414,-0.527832,0.838379
1523207964906902,0.149902,-0.537598,0.827637
1523207964922183,0.160645,-0.539551,0.813477
1523207964944007,0.161133,-0.531738,0.816406
1523207964967062,0.160645,-0.521973,0.818848
1523207964983107,0.141602,-0.516113,0.830566
1523207965004163,0.167969,-0.514648,0.830566
1523207965027234,0.168945,-0.513672,0.828125
1523207965043274,0.181641,-0.507813,0.830078
1523207965064559,0.17627,-0.519043,0.83252
1523207965086382,0.162598,-0.526855,0.835938
1523207965103425,0.161621,-0.54541,0.824219
1523207965124718,0.159668,-0.548828,0.83252
1523207965146593,0.16748,-0.53125,0.824707
1523207965164587,0.166504,-0.53418,0.82959
1523207965183640,0.164063,-0.548828,0.833008
1523207965206701,0.162109,-0.54541,0.821777
1523207965222921,0.162598,-0.532227,0.825684
