timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523177543318785,3,-6,-65,-32,-5,-2,0,1
1523177543318785,-9,-14,19,-10,-9,-7,-5,-7
1523177543319788,0,3,4,2,3,2,-1,0
1523177543319788,0,0,4,2,0,0,-2,-2
1523177543319788,0,6,27,27,6,2,0,2
1523177543319788,1,-1,-12,-4,-1,0,0,3
1523177543320790,-1,-4,-9,-29,-4,-1,-2,-1
1523177543320790,-1,2,8,9,1,-2,-2,1
1523177543331820,-5,-2,1,-2,-2,-2,-2,-4
1523177543331820,1,-1,-17,16,2,1,1,0
1523177543341848,-1,-2,11,-1,2,-1,-1,-2
1523177543341848,1,0,-11,-5,-3,-1,-1,0
1523177543347863,-1,-4,0,-1,-1,-1,-1,0
1523177543347863,2,3,-6,-16,-2,-1,-1,0
1523177543361901,-1,0,12,34,19,4,-1,0
1523177543361901,0,-2,-9,-18,-10,-2,1,-1
1523177543369921,-1,-1,2,3,-2,-2,-3,-2
1523177543369921,0,2,6,1,2,2,-1,-1
1523177543384961,0,-1,-13,-10,-7,-5,-1,-1
1523177543384961,-2,-3,-2,-3,2,-1,-1,0
1523177543392983,0,0,19,6,-2,-1,0,1
1523177543392983,-1,-1,-28,-5,-1,1,-1,1
1523177543406019,-1,-2,4,15,-5,-2,-2,-5
1523177543406019,-1,-1,-9,-19,0,0,0,-4
1523177543448130,-2,0,6,0,-2,-1,-2,-2
1523177543448130,0,1,10,3,2,0,-2,-2
1523177543449133,1,0,-5,3,-1,-1,-2,1
1523177543449133,-1,2,-9,-6,3,2,-1,-2
1523177543452141,-2,-1,14,31,-4,-3,-1,1
1523177543452141,-2,-1,-4,-17,-4,-2,0,1
1523177543453144,-1,1,1,1,0,1,-1,-1
1523177543453144,-2,-1,-4,-13,-1,-1,-2,1
1523177543459158,0,-4,3,6,0,-1,-1,-3
1523177543459158,-1,0,6,12,0,-1,-1,0
1523177543466177,-4,-5,-21,-20,-4,0,-1,-3
1523177543466177,1,1,1,-3,-2,-1,0,0
1523177543474198,-1,0,-5,-9,2,1,1,-1
1523177543474198,0,-1,3,-19,-1,-2,-1,-1
1523177543489240,-1,-1,6,13,-1,-1,0,0
1523177543489240,-2,-1,-2,-8,-3,-2,-1,-1
1523177543496296,0,2,-4,12,1,0,1,0
1523177543496296,-3,-3,-7,-25,-4,-2,-2,-3
1523177543520359,-1,-2,3,29,2,-2,-2,-3
1523177543520359,1,-4,-3,-10,-5,-1,0,0
1523177543521324,-1,1,-3,-10,-1,-1,-2,0
1523177543521324,0,2,18,17,-1,0,0,-1
1523177543534358,-2,1,-33,-3,2,-1,-1,0
1523177543534358,-2,-3,17,28,-5,-5,-1,-3
1523177543535361,-1,-1,-6,-30,-2,-1,-3,0
1523177543535361,2,-2,-1,11,2,0,1,0
1523177543557454,-1,0,3,-3,-1,-1,1,2
1523177543557454,-1,10,10,26,5,0,-1,-1
1523177543557454,-2,-17,-24,-19,-2,2,-2,1
1523177543557454,0,9,11,18,0,0,-2,0
1523177543580483,-1,-7,-1,14,-3,-2,-1,0
1523177543580483,-2,-1,-2,-14,-3,-1,-1,-3
1523177543581486,1,6,8,-1,-2,-1,-1,-3
1523177543581486,-1,-4,-15,0,-3,-1,1,-1
1523177543594519,-1,-1,9,-8,1,-1,-2,-3
1523177543594519,0,-1,2,2,1,0,1,-1
1523177543595522,-1,0,-2,-7,-2,1,-1,0
1523177543595522,-1,-3,-6,-8,2,0,-2,0
1523177543616611,-1,1,3,-24,-2,-1,1,-2
1523177543616611,-1,-5,3,5,-4,-1,0,0
1523177543617581,-1,2,0,41,0,-1,0,-1
1523177543617581,-2,-4,-12,-34,0,-3,-2,-2
1523177543640668,0,1,12,7,-1,-2,0,0
1523177543640668,0,-2,-4,-21,1,1,-2,-1
1523177543640668,0,1,-8,-2,-1,-1,-1,-1
1523177543640668,0,6,8,18,0,2,1,-1
1523177543654732,-3,-8,-9,-13,-4,-3,-3,-2
1523177543654732,0,1,-5,5,-2,-2,0,-2
1523177543655736,-1,-3,-8,-17,-1,-2,-1,-1
1523177543655736,1,2,6,26,-1,0,-2,-2
1523177543676737,0,1,-2,-19,0,0,0,-1
1523177543676737,-2,-1,-1,8,-1,-1,-2,-1
1523177543677740,1,4,9,-11,-1,-4,0,-2
1523177543677740,-3,-8,-9,-4,0,0,0,2
1523177543699832,1,1,7,11,-4,-1,-3,-1
1523177543699832,-1,-1,-6,4,3,0,-4,1
1523177543700802,0,-2,5,-24,3,1,2,-2
1523177543700802,-1,-2,-8,-1,-2,-2,-1,-1
1523177543714872,-1,-2,3,-12,-3,0,-1,0
1523177543714872,-1,-2,-7,-5,-2,-1,0,-2
1523177543715841,-2,0,1,-2,-3,-1,-2,-2
1523177543715841,-1,-4,0,-3,-4,-3,0,0
1523177543736897,0,1,2,1,4,1,1,1
1523177543736897,0,1,5,8,5,2,1,0
1523177543737900,-2,-4,-3,-1,-8,4,1,0
1523177543737900,-4,-8,-27,-23,-6,0,-3,-5
1523177543759958,-1,1,12,19,8,-2,-3,-1
1523177543759958,0,-3,-4,-13,-9,-8,-4,-1
1523177543760962,0,1,14,17,0,-3,1,0
1523177543760962,-1,5,4,22,8,3,0,1
1523177543774998,0,-2,-8,-18,-1,6,1,0
1523177543774998,-1,-4,0,-7,0,0,-1,-1
1523177543774998,-3,0,-9,-17,-9,-5,-3,-2
1523177543774998,0,6,8,-1,-6,-6,-2,-3
1523177543797091,-1,-6,-20,6,0,-2,0,-1
1523177543797091,-3,0,-13,0,0,-2,0,-1
1523177543798093,-3,-1,10,1,-2,-3,-4,0
1523177543798093,1,-2,6,11,1,0,-1,0
1523177543821122,0,7,1,-41,1,0,-2,-1
1523177543821122,-1,-5,-1,8,-9,-4,-1,-1
1523177543821122,0,-3,-8,17,3,1,-2,0
1523177543821122,-2,0,1,-8,2,1,0,-2
1523177543834210,0,2,16,-5,-5,-3,0,-1
1523177543834210,-1,-6,-14,9,1,3,0,1
1523177543835159,-1,0,2,-9,2,0,-1,-3
1523177543835159,0,-4,3,9,-2,-3,-1,0
1523177543857256,0,-3,-16,3,-4,1,-1,-1
1523177543857256,-2,4,5,-40,1,-1,0,0
1523177543858256,1,-1,9,44,2,-1,-2,0
1523177543858256,-1,-2,-21,-25,-4,0,-1,-1
1523177543880280,0,-4,-9,-4,-4,-3,-1,-2
1523177543880280,1,2,8,8,4,0,-1,-3
1523177543881283,0,0,-2,-2,1,-2,0,-1
1523177543881283,-1,-2,5,1,-2,-2,-2,-1
1523177543902338,-1,0,-3,-20,-2,-2,-2,-1
1523177543902338,-2,-3,3,7,-5,-4,-1,-4
1523177543903340,-3,-6,-9,-9,-5,-3,-1,-2
1523177543903340,0,1,8,11,6,4,2,-1
1523177543917376,2,1,5,18,4,1,3,0
1523177543917376,2,1,1,-6,-2,1,-1,0
1523177543918379,-1,-1,-4,-5,-3,-3,-1,0
1523177543918379,-2,-3,-1,-2,-5,-3,-4,-1
1523177543940439,-4,-1,5,8,-1,-2,-3,-4
1523177543940439,1,-1,6,6,2,1,-2,-2
1523177543941443,-1,-1,-1,-9,0,0,-2,-2
1523177543941443,-3,0,-3,6,-2,-2,-1,0
1523177543953506,-1,-3,5,-8,-8,-4,0,1
1523177543953506,0,0,5,3,4,3,-1,0
1523177543962498,-1,1,-4,7,0,1,-1,0
1523177543962498,2,2,1,-2,-2,-1,1,0
1523177543976534,-3,-1,-11,-11,-5,-2,-2,-1
1523177543976534,-2,-1,-9,6,-5,-6,-1,-1
1523177543977537,0,-1,3,-20,-1,-3,-4,-2
1523177543977537,2,0,-3,3,7,3,3,0
1523177544000600,0,1,-1,19,6,2,0,-1
1523177544000600,0,2,3,-12,-4,-2,0,-1
1523177544000600,-2,-11,-28,-9,-3,-2,-2,1
1523177544000600,-2,-3,-6,-8,-6,-4,-4,-2
1523177544013672,-1,2,11,-1,0,-3,-3,-1
1523177544013672,0,-2,5,-13,1,0,-2,1
1523177544021709,1,1,-11,5,0,1,0,1
1523177544021709,1,-1,4,-25,-2,0,-1,-1
1523177544036694,-4,-2,10,34,-3,-1,-1,-2
1523177544036694,0,-3,-14,-5,-2,-2,0,-1
1523177544037696,-2,6,17,-9,0,-1,2,1
1523177544037696,-2,-3,-6,-4,-2,0,0,-2
1523177544059755,-1,2,15,12,-1,-5,-3,-1
1523177544059755,-2,-7,-40,-20,2,-2,-1,-2
1523177544060759,0,-1,9,-19,-1,1,2,-2
1523177544060759,0,5,6,42,2,-2,-1,1
1523177544073826,-3,-15,-16,-41,-10,-9,-3,-3
1523177544073826,-1,2,9,23,5,2,-1,0
1523177544081848,-1,0,-7,-10,0,-3,-1,0
1523177544081848,0,-2,-9,-10,-10,-6,-3,-1
1523177544096892,1,5,3,11,4,8,3,3
1523177544096892,-3,0,5,15,7,9,2,-1
1523177544097858,0,0,-2,-4,7,3,0,-2
1523177544097858,-3,0,10,-3,-7,-5,-2,-2
1523177544120951,-3,-6,0,5,-7,-5,-3,-2
1523177544120951,-2,-1,6,-8,-7,-7,-1,0
1523177544121921,1,-2,-1,2,0,-3,-1,0
1523177544121921,-3,-9,-24,32,4,0,-2,0
1523177544133986,1,-1,-18,-63,-4,1,1,1
1523177544133986,0,1,11,37,6,-1,-2,-1
1523177544141975,0,-4,1,21,-1,-2,-1,0
1523177544141975,0,1,5,-3,0,0,0,-1
1523177544157014,0,0,-3,0,1,1,0,1
1523177544157014,-1,-1,-7,-11,-3,-1,-1,-2
