timestamp,x,y,z
1523150141956205,-0.6875,-0.25,1.25
1523150141972248,-1.125,-0.5625,0.875
1523150141994307,-0.6875,-0.8125,0.5
1523150142015874,-0.6875,-0.625,0.1875
1523150142031988,-0.5625,0,0.0625
1523150142055046,-0.8125,-0.0625,0.125
1523150142076103,-1.6875,-0.375,-0.3125
1523150142092148,-1.75,-0.1875,-0.4375
1523150142122234,-1.75,1.375,-0.0625
1523150142135876,-0.875,4.0625,0.6875
1523150142151913,-1.0625,5.25,1
1523150142174974,-2,5,0.5625
1523150142196031,-2,2.9375,-0.75
1523150142212578,-0.1875,2.75,-0.8125
1523150142234662,1.4375,4.1875,0.3125
1523150142257723,3.1875,6,1.625
1523150142271763,3.3125,5.8125,1.0625
1523150142294824,2.6875,4.8125,0.125
1523150142317390,4.4375,3.75,-0.25
1523150142331988,8.8125,3.875,1.1875
1523150142355055,12.875,4.3125,2.3125
1523150142377112,12.125,5.8125,2.5
1523150142400170,10.875,9.5625,1.8125
1523150142415220,10.6875,11.0625,-0.25
1523150142436826,6.9375,10.9375,0.0625
1523150142451867,10,11.8125,2.0625
1523150142474928,12.9375,11.25,4.75
1523150142496992,13.625,9.3125,5.0625
1523150142512027,12.25,10.8125,5.25
1523150142534647,13.375,10.4375,6.1875
1523150142556706,15,9.1875,6.9375
1523150142571746,15.3125,6.9375,4.1875
1523150142594811,14.25,5.3125,1.25
1523150142617376,16.6875,5.875,2.25
1523150142631421,18.0625,4.8125,4.6875
1523150142654482,18.1875,2.75,5.0625
1523150142677548,19.3125,2.4375,3.6875
1523150142691581,19.125,0.8125,1.25
1523150142715154,17.75,1.8125,-0.5
1523150142737722,16.5625,2.6875,0.0625
1523150142757775,15.375,3.25,1.375
1523150142774818,13.0625,4.375,2
1523150142796877,10.6875,4.75,1.875
1523150142818445,8.6875,4.125,0.75
1523150142834546,8.0625,3.5625,-0.6875
1523150142857612,6.4375,2.1875,-2.625
1523150142878664,5.9375,2.5625,-3.0625
1523150142894709,4.0625,2.25,-1.875
1523150142917275,2.5625,1.9375,-0.75
1523150142937835,3.625,2.4375,-0.6875
1523150142954882,2.3125,3.3125,-1.4375
1523150142982958,1.0625,4.4375,-0.375
1523150142997996,2.3125,4,-0.75
1523150143015045,0.3125,3.0625,-0.4375
1523150143037119,-1.5,2.375,-0.125
1523150143058174,-1,2.5625,-0.1875
1523150143074219,-0.5,3.1875,0.1875
1523150143097280,-0.5625,2.3125,0.5
1523150143118348,-0.3125,1.25,-0.4375
