timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523055052916901,5,33,57,24,13,-10,2,3
1523055052916901,3,16,38,4,-1,-11,4,3
1523055052918861,-3,7,18,-9,-4,3,-2,-3
1523055052918861,8,0,-6,6,4,0,0,3
1523055052920864,4,-7,-14,6,0,6,-3,-1
1523055052920864,-7,28,15,-5,-7,-6,-3,-4
1523055052921867,-2,-38,-39,-1,-2,-4,-6,-2
1523055052921867,-7,-1,-7,-10,4,-1,-12,-1
1523055052929894,13,31,30,10,14,7,15,6
1523055052929894,-2,-19,6,15,0,28,-18,-3
1523055052937407,1,10,-10,-9,-4,-8,24,-3
1523055052937407,-10,-22,-56,-16,-6,-1,-15,-2
1523055052944933,-1,-16,-5,-2,-4,-2,-8,2
1523055052944933,13,11,-11,10,6,10,6,5
1523055052959978,-1,35,2,6,2,7,-14,-2
1523055052959978,13,52,84,14,-1,-6,16,4
1523055052966017,-18,-55,-93,-9,1,9,2,-3
1523055052966017,-6,-13,-1,-9,3,5,-5,-3
1523055052981023,2,5,26,18,8,0,-1,1
1523055052981023,2,8,-3,-10,-10,-10,5,2
1523055052989599,4,32,8,5,6,8,5,-1
1523055052989599,-4,-16,-33,0,1,1,-4,-4
1523055053004638,-13,-2,14,3,2,0,-5,-4
1523055053004638,10,-2,7,-4,-4,12,-6,-4
1523055053044192,5,-10,-1,-14,-8,3,-7,0
1523055053044192,9,14,10,17,6,5,-4,0
1523055053045192,-20,6,-15,-8,2,6,-3,-4
1523055053045192,-2,-6,-13,-13,-12,-4,-4,-1
1523055053045696,23,21,40,9,11,-8,4,2
1523055053045696,-3,-28,-24,14,14,10,-3,-4
1523055053048201,-2,10,22,-1,-9,-6,0,-2
1523055053048201,1,4,1,-7,6,3,2,0
1523055053057227,-27,-8,-9,13,-6,4,-6,-5
1523055053057227,18,24,5,-19,-1,-8,-5,4
1523055053063241,10,13,10,8,-4,-9,3,1
1523055053063241,-25,-28,-15,0,-7,-3,8,-4
1523055053072264,1,-8,-9,-14,-7,-2,-5,-3
1523055053072264,-5,15,6,14,-3,-7,4,1
1523055053085855,11,-19,-20,-9,2,6,-7,0
1523055053085855,-8,14,12,-24,-10,4,-5,-3
1523055053094825,1,-14,-37,30,15,2,1,1
1523055053094825,-6,-10,-1,-12,-7,-5,-2,-3
1523055053124404,10,4,5,6,1,-2,9,1
1523055053124404,1,-20,-5,0,9,6,2,0
1523055053126409,6,24,32,1,-3,-4,1,2
1523055053126409,-17,-4,-12,-3,0,1,-6,-5
1523055053131423,1,-7,-11,-4,-3,-1,0,0
1523055053131423,8,9,12,10,2,-9,-16,0
1523055053138441,13,24,52,-4,-15,-2,7,1
1523055053138441,-29,-25,-43,8,22,3,-3,-4
1523055053154483,-1,-18,-4,-18,-9,0,-10,-4
1523055053154483,-3,-12,-6,4,-2,1,-8,-3
1523055053155987,-17,13,32,0,-2,-5,-11,-4
1523055053155987,16,-8,-4,-12,-20,-14,25,2
1523055053177043,2,5,12,17,15,17,-3,1
1523055053177043,3,13,26,7,8,2,1,1
1523055053178549,3,-14,-31,-5,1,-6,-4,-4
1523055053178549,13,2,4,-2,-8,-6,10,3
1523055053191581,-3,-6,-8,-14,-3,-6,-3,0
1523055053191581,-1,15,15,24,-8,-7,10,2
1523055053198100,-20,-18,-27,-7,13,9,-5,-4
1523055053198100,4,8,20,-6,-4,1,-12,-2
1523055053214644,18,-5,2,-5,-4,5,1,1
1523055053214644,5,2,-17,-5,-7,-13,-9,-1
1523055053216148,-14,-8,-7,-3,-3,1,9,-19
1523055053216148,-19,-15,-12,-5,-4,-2,-13,0
1523055053237203,23,-26,-15,-2,-6,-4,0,0
1523055053237203,11,0,4,1,2,-1,-8,0
1523055053238747,1,14,-16,4,4,4,5,4
1523055053238747,19,3,24,0,-2,7,2,5
1523055053250740,-38,-9,-5,5,6,16,-5,2
1523055053250740,-7,-6,-17,-2,3,0,18,1
1523055053265780,-15,-14,-4,-11,-8,-13,-21,-4
1523055053265780,6,6,-2,0,-2,-5,-36,-15
1523055053274803,-9,19,14,5,1,-17,-36,7
1523055053274803,27,5,3,2,12,31,16,49
1523055053276307,-27,1,-4,-4,-5,-22,17,-53
1523055053276307,-79,-22,0,-4,-4,-9,-22,17
1523055053296861,18,0,-16,-7,-4,-7,11,-25
1523055053296861,-22,-8,3,-12,-4,-1,-27,-15
1523055053298926,52,-6,-6,1,1,25,-9,41
1523055053298926,34,7,-1,2,2,-11,4,-24
1523055053310900,-12,7,7,7,2,2,-1,-7
1523055053310900,0,-7,-12,-1,-5,-10,2,-7
1523055053319923,-3,-4,-3,-7,-7,-1,-19,5
1523055053319923,2,-6,0,3,6,18,48,12
1523055053334463,-2,8,5,-3,-6,2,15,13
1523055053334463,9,2,-7,0,-1,1,-6,-8
1523055053336469,-7,-7,7,1,1,-7,-3,-11
1523055053336469,3,-1,-14,-4,-3,1,-14,25
1523055053357080,0,0,-1,1,-1,-8,12,-15
1523055053357080,-2,14,15,-1,-6,1,-4,-3
1523055053359028,-4,13,47,5,-2,0,-11,7
1523055053359028,7,-62,-95,-12,1,-1,6,-5
1523055053370559,0,42,85,-3,-20,-12,1,9
1523055053370559,-25,-86,-89,-26,-3,7,-4,-20
1523055053379583,16,37,17,14,0,4,6,4
1523055053379583,14,33,31,3,-5,2,7,-1
1523055053394623,-14,-9,5,-1,0,-6,-4,-8
1523055053394623,7,9,-7,2,-5,-11,-13,-7
1523055053396128,9,-17,-22,-9,-8,-13,34,6
1523055053396128,-3,26,20,-5,-6,6,15,-5
1523055053417240,-4,-18,-22,7,0,0,0,5
1523055053417240,2,20,30,-1,13,-6,16,-4
1523055053418687,-4,-8,-23,-1,3,3,-36,0
1523055053418687,28,42,67,-2,-5,9,4,-3
1523055053430717,-35,-40,-61,-9,-9,-11,25,0
1523055053430717,1,-26,-49,15,9,0,-4,1
1523055053439743,-7,-20,1,-24,-26,-37,-12,-5
1523055053439743,-8,-24,-48,6,0,-15,-5,-8
1523055053454783,11,48,-8,-13,-2,1,-14,1
1523055053454783,-3,9,21,1,-12,-2,3,-2
1523055053456287,-34,-13,-39,-6,8,2,4,-3
1523055053456287,1,-5,29,9,7,-1,-3,-2
1523055053477342,3,-6,-23,-2,-1,-2,-3,0
1523055053477342,1,4,18,7,-9,-13,-2,-2
1523055053478883,11,13,-15,-8,14,6,13,2
1523055053478883,-3,16,26,2,-2,-12,-15,-4
1523055053490879,2,-7,8,9,11,0,-3,-4
1523055053490879,10,-2,-3,-10,-7,1,-12,-1
1523055053499902,-13,-4,25,3,-2,2,5,6
1523055053499902,-7,-24,-52,-7,-4,13,-8,-10
1523055053514441,7,5,39,21,7,-3,-11,-3
1523055053514441,-1,-2,-21,-20,-2,4,8,2
1523055053516492,41,15,-9,9,5,15,6,11
1523055053516492,-31,3,18,-6,0,-3,-9,-9
1523055053535998,-5,1,-19,-5,-7,-4,-1,-3
1523055053535998,5,15,30,8,4,0,2,0
1523055053544521,4,-1,-21,6,10,11,0,0
1523055053544521,4,14,77,6,0,-11,0,0
1523055053550591,8,-8,0,2,9,20,-3,0
1523055053550591,-15,-7,-5,5,2,-1,-2,-5
1523055053559562,-2,4,-6,-10,-14,-26,18,8
1523055053559562,13,19,26,8,13,43,-2,2
1523055053575104,-13,-26,-10,-5,-2,2,-5,-4
1523055053575104,4,21,16,8,2,-1,-3,0
1523055053576107,-4,-3,-3,-5,3,15,0,-3
1523055053576107,7,-4,-21,-14,-17,-18,20,0
1523055053597160,3,-10,-25,1,8,-4,19,-1
1523055053597160,-27,-10,2,4,2,11,0,-6
1523055053598665,9,-13,13,2,-2,-8,-6,-3
1523055053598665,-1,4,-9,1,3,-1,-8,-1
1523055053610696,-20,3,8,-4,-6,-1,-10,-4
1523055053610696,11,19,2,-3,-5,-12,7,6
1523055053619722,-11,-9,5,-6,-10,-16,-12,-7
1523055053619722,0,6,-28,10,18,0,-2,-2
1523055053634761,6,9,41,7,-3,-4,-8,-1
1523055053634761,6,-16,-40,-1,4,9,-3,0
1523055053636265,-3,8,3,-8,-6,5,-1,0
1523055053636265,5,10,46,10,1,-4,-3,5
1523055053657322,-13,-26,-86,-18,-9,-3,-3,-3
1523055053657322,20,18,29,7,-8,-19,1,0
1523055053658827,-12,-10,-5,-2,21,26,-2,-2
1523055053658827,3,-15,-9,-7,-16,-12,-1,-3
1523055053679435,19,18,26,3,5,11,1,3
1523055053679435,-24,1,4,-8,-4,-5,0,0
