timestamp,x,y,z
1523208735152215,-16.375,-8.375,-0.125
1523208735174274,-31.1875,-7.6875,-2.6875
1523208735195331,-16.875,-7.375,-0.3125
1523208735212375,-3.6875,-5.1875,-0.0625
1523208735234435,-8.25,-7.25,3.5
1523208735248472,-15.5625,-20.3125,1.8125
1523208735271532,-15.625,-21.8125,1.0625
1523208735294594,8.875,-20.9375,1.875
1523208735315650,19.5625,-30.25,12.4375
1523208735331692,28.375,-47.75,18.3125
1523208735354756,24.6875,-58.5,23.9375
1523208735375812,23.625,-57.0625,26.1875
1523208735391855,40.375,-70.0625,31.0625
1523208735414146,45.75,-79.1875,34.3125
1523208735434967,44.4375,-69.9375,34.6875
1523208735452012,35.125,-58.6875,31.4375
1523208735474070,31.6875,-52.0625,28.625
1523208735495128,41.875,-49.625,28.125
1523208735512173,37.1875,-48.0625,26.125
1523208735534232,25.625,-37.6875,21.9375
1523208735555520,22.5,-29.875,20.1875
1523208735572331,18.5625,-22.8125,17.6875
1523208735594394,15.5625,-17.625,14.3125
1523208735615446,13.5,-12.5625,13.75
1523208735631490,8.875,-6.4375,12.75
1523208735654550,11.8125,-5.6875,10.5625
1523208735675611,12,-6.625,9.125
1523208735691648,9.25,-5,7.125
1523208735714750,6.5,-1.8125,5.1875
1523208735735767,4.25,0.625,3.3125
1523208735751807,4.8125,1.75,1.1875
1523208735774878,3,3.375,1.1875
1523208735795926,2.625,5.625,2.6875
1523208735811971,4.125,4.75,4
1523208735834027,2.875,1.875,6.1875
1523208735856126,4.1875,2.25,9.4375
1523208735872129,8.9375,3.1875,11.6875
1523208735894186,12.75,1.9375,11.5625
1523208735915477,12.25,1.875,12.0625
1523208735932289,11.9375,6.3125,13.3125
1523208735956354,18.0625,10.9375,14.75
1523208735975403,15.0625,14.25,13.9375
1523208735991450,9,15.1875,10.375
1523208736014508,6.75,17.5625,7.5625
1523208736035603,6.5625,19.6875,5.4375
1523208736051645,5,19.25,5.9375
1523208736074671,3.375,17.5625,5.5625
1523208736095722,2.25,15.8125,4.875
1523208736111767,-0.125,14.875,4.5625
1523208736134827,0.0625,14.625,5.6875
1523208736156886,-1.5625,14.8125,6.1875
1523208736171925,-1.75,12.75,5.25
1523208736193987,-5.25,10.6875,3.0625
1523208736217045,-6.5625,8.1875,2.9375
1523208736233087,-6.0625,5.6875,1.875
1523208736260163,-4.5625,3.375,2.3125
1523208736277205,-3.125,1.25,3.6875
1523208736291246,-3.6875,-0.625,3.5
1523208736314304,-1.875,2.8125,2.5
1523208736337366,1.5625,4.625,3.5
1523208736351402,1.1875,3.8125,2.3125
1523208736374465,1.4375,1.9375,2.375
1523208736396525,3,0.125,2.5625
1523208736411562,2.9375,-0.375,1.5625
1523208736434623,2.875,-0.375,1
1523208736456687,1.1875,0.1875,1
1523208736477738,-2.3125,1.8125,1.6875
1523208736494786,-1.625,0.375,0.875
1523208736516843,-0.4375,-1,0.3125
1523208736530880,-0.5,-0.0625,-0.0625
1523208736554173,-0.6875,1.4375,0.8125
1523208736577001,1.25,1.9375,0.6875
1523208736591041,-0.0625,3.0625,0.875
1523208736614101,1.625,3.0625,1.1875
1523208736637161,2.1875,-0.4375,1.5625
1523208736658264,-2.875,-2.3125,-0.5
1523208736674265,1.5625,-0.4375,-0.875
1523208736697321,2.8125,0.6875,1.125
1523208736718378,0.25,0.9375,0.25
1523208736734421,0,-0.1875,-0.5625
1523208736756478,0.3125,-2.5625,-0.875
1523208736777535,0.875,-3.875,-1.5
1523208736794582,0.6875,-4.0625,-0.375
1523208736816639,1.0625,-1.6875,-0.125
1523208736837696,1.6875,0.8125,-0.375
1523208736854741,0.5625,2.3125,0.6875
1523208736876797,0.9375,1.4375,0.6875
1523208736897860,0.5,-0.125,1.625
1523208736914901,1.5625,-1.1875,0.5
1523208736936958,0.75,-1.8125,-0.625
1523208736958014,0.75,-2.375,-1
1523208736974069,0.0625,-3.8125,-1.1875
1523208736997116,-0.6875,-5.1875,-1.125
1523208737018177,-1.25,-7.375,-1.5625
1523208737034217,-1,-8,-2.375
1523208737057282,-1.4375,-6,-2.1875
1523208737079336,-2.25,-2.25,-0.9375
1523208737094377,-1.875,-0.5,-0.75
1523208737117524,-0.5625,-0.0625,0.1875
1523208737139498,0.25,0.0625,0.9375
1523208737154536,1.125,-0.4375,1.4375
1523208737176594,1.0625,-0.125,1.5
1523208737199656,1.375,0.875,1.375
1523208737213693,1.25,1,1.5625
1523208737236753,0.5,0.6875,1.125
1523208737259817,0.375,0.0625,1.5
1523208737273860,0,-0.625,1.375
1523208737296914,-0.3125,-0.875,1
1523208737319207,-0.1875,-0.625,0.5
1523208737334013,0.5,-0.3125,0.9375
1523208737357091,0.6875,-0.0625,1.6875
1523208737379133,0.125,0.25,1.5625
1523208737394173,-0.5625,1,1.25
1523208737417234,-0.25,1.125,0.75
1523208737439293,-0.25,1.125,0.3125
1523208737453331,-0.5,0.125,-0.1875
1523208737476392,0.375,-1.5625,-0.5
1523208737499451,1.125,-2.625,-0.6875
1523208737513489,1.4375,-2.875,-0.0625
1523208737536703,1.125,-1.3125,-0.25
1523208737559614,1.5625,0.625,0.375
1523208737580669,1.125,2,0.9375
1523208737596711,0.625,1.6875,0.625
1523208737619772,1.625,0.3125,0.25
1523208737640828,2,-0.9375,0.1875
1523208737656876,1.6875,-1.0625,0
1523208737679932,0.5,0.5625,0
1523208737701106,0.4375,1.5,0.125
1523208737717031,0.25,1,0.9375
1523208737739094,-0.125,-0.1875,1.1875
1523208737760146,0.375,-1.125,0.3125
1523208737777192,0.875,-1.25,-0.3125
1523208737799273,1,-1.375,0.125
1523208737820540,0.5,-0.8125,0.4375
1523208737837436,1.25,0.25,-0.5625
1523208737859408,1.3125,0.625,-0.75
1523208737880466,0.5625,0.25,-0.125
1523208737896732,0.9375,-0.375,0.0625
1523208737926586,1.375,0,0.625
1523208737940627,2.5625,0.375,0.4375
1523208737956672,1.3125,0.9375,-0.0625
1523208737979729,1.4375,1.0625,-0.5625
1523208738001786,0.375,0,0.1875
1523208738016827,-0.375,-0.9375,0.625
1523208738039897,-0.8125,-0.3125,0.375
1523208738061948,-0.75,0.875,0.375
1523208738076987,-1.4375,2.125,0.75
1523208738099176,-1.4375,2.125,1
