timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523210635139928,-11,-15,-17,-23,-25,4,-5,-6
1523210635139928,-3,-15,-57,13,20,3,-1,-3
1523210635140924,0,-25,-1,16,10,10,2,0
1523210635140924,-9,-16,71,4,-9,-4,2,-1
1523210635153959,2,8,-7,-22,-12,-13,-6,-1
1523210635153959,-4,2,34,2,-23,-18,-9,-6
1523210635161980,2,11,-31,-21,7,-7,-5,-4
1523210635161980,2,1,-18,-7,-12,5,9,4
1523210635178025,1,1,14,0,5,-7,-4,-2
1523210635178025,-5,-4,-3,27,23,12,1,-1
1523210635178025,1,-1,33,-5,2,-7,1,-2
1523210635178025,0,7,-36,-12,-10,-19,-9,-3
1523210635200082,-1,-2,19,-22,-64,-16,4,-2
1523210635200082,1,9,45,28,79,19,1,-1
1523210635201084,3,9,-40,3,-16,11,3,5
1523210635201084,-5,-8,-11,-26,4,1,-8,-4
1523210635214119,-3,-14,-21,-6,-2,-4,-1,-2
1523210635214119,-1,3,10,2,-62,-32,-10,-6
1523210635222140,2,7,5,13,35,22,6,0
1523210635222140,0,-3,10,12,16,27,8,2
1523210635237181,3,3,-2,0,28,2,-3,0
1523210635237181,-3,-9,-4,-15,-29,-7,-8,-4
1523210635238183,-3,15,16,-9,-20,-21,-7,-3
1523210635238183,-1,-3,-57,-12,-15,-10,5,-1
1523210635260247,-1,0,-10,4,19,7,2,0
1523210635260247,-2,3,57,3,2,-14,2,-1
1523210635261251,-3,-8,-40,4,-43,-3,-8,-4
1523210635261251,2,3,26,3,57,16,4,2
1523210635274278,1,1,-22,20,7,12,7,6
1523210635274278,1,4,1,-3,-3,0,-1,-1
1523210635282300,1,-5,6,-16,-37,-11,-3,-1
1523210635282300,-1,3,-9,5,-3,-8,-1,-3
1523210635297341,4,-1,21,-13,9,-2,-9,-4
1523210635297341,-9,-14,-39,15,-10,3,-2,-4
1523210635298343,-5,-6,22,-43,16,13,7,0
1523210635298343,2,2,12,8,-10,-1,-1,0
1523210635320402,10,23,-29,7,12,1,-3,0
1523210635320402,-8,-20,-44,-18,-23,-5,-2,-4
1523210635320402,0,9,-4,-3,26,-6,-3,0
1523210635320402,-8,-18,-26,-1,-30,-10,-7,-6
1523210635343474,-1,1,22,2,3,5,3,3
1523210635343474,6,13,12,10,18,7,6,3
1523210635344470,1,1,-2,3,-1,2,-1,-2
1523210635344470,-5,-18,4,-2,-12,-8,1,0
1523210635357509,-6,-2,11,2,-8,-14,-7,-3
1523210635357509,0,6,-24,-21,-8,-3,-3,-3
1523210635358506,0,3,33,28,5,-6,-8,-1
1523210635358506,3,-1,-3,16,9,10,8,2
1523210635379558,-9,-17,30,6,0,1,-3,-2
1523210635379558,1,2,14,-18,-3,1,2,0
1523210635380560,-2,0,-26,0,-1,-5,-4,-3
1523210635380560,-3,0,-18,-3,-10,-3,-5,-3
1523210635403626,-1,-14,7,12,11,-1,0,0
1523210635403626,0,-3,20,30,12,10,0,1
1523210635403626,1,8,-37,-72,-12,-10,-2,-1
1523210635403626,-3,-14,-29,9,-11,0,0,-3
1523210635417660,-1,10,60,22,1,-9,-4,-4
1523210635417660,4,10,9,-3,9,10,4,4
1523210635418662,-1,-12,6,24,15,6,3,-1
1523210635418662,5,11,5,-7,2,7,5,4
1523210635439721,-4,-9,-1,-13,-17,-7,-8,-5
1523210635439721,-2,-4,-23,-15,9,-10,-8,-6
1523210635440722,1,5,-1,39,-25,6,5,4
1523210635440722,2,8,19,-30,23,-5,-3,-1
1523210635454761,-3,-6,4,13,-13,-1,-2,-4
1523210635454761,0,-5,-46,-39,-8,-1,0,3
1523210635462783,-5,-27,-3,-31,2,1,-11,-1
1523210635462783,0,7,25,38,11,5,11,-1
1523210635477821,-7,-7,-18,-6,-1,0,6,5
1523210635477821,5,0,35,10,0,-5,1,0
1523210635477821,0,7,7,5,9,-4,-4,1
1523210635477821,-1,4,-2,8,-24,-12,-8,-5
1523210635499879,-3,-3,-23,-37,8,0,-7,-1
1523210635499879,-3,1,-47,6,-9,3,2,0
1523210635500881,-1,-6,42,20,7,-2,2,0
1523210635500881,3,-3,-4,-8,3,6,-3,3
1523210635513917,3,10,-5,-10,7,5,2,-2
1523210635513917,-4,-11,21,-10,-22,-11,-6,-2
1523210635522945,-3,-3,-46,13,17,-3,-6,-5
1523210635522945,0,2,15,21,8,8,7,0
1523210635536977,7,10,51,-8,-16,-14,-1,-1
1523210635536977,-3,-9,-16,10,-4,3,5,-3
1523210635537980,1,8,36,19,27,10,2,1
1523210635537980,0,0,-12,-10,-16,1,-1,1
1523210635560038,-3,-21,-11,6,12,5,0,0
1523210635560038,2,22,17,-9,-8,-6,-10,-3
1523210635561042,-5,-5,6,4,-19,-15,-8,-2
1523210635561042,-1,1,-10,-23,-9,-4,7,0
1523210635583099,4,12,-23,0,18,8,3,1
1523210635583099,-3,-8,-13,6,-9,-6,-5,-1
1523210635584101,-4,-2,-13,14,20,11,9,-2
1523210635584101,3,7,60,8,5,4,1,1
1523210635597137,-2,10,-32,-21,-13,-9,-6,-2
1523210635597137,-1,1,31,6,5,1,5,2
1523210635598139,3,4,-45,-48,-35,-9,0,1
1523210635598139,-5,-10,-23,70,45,5,-6,-1
1523210635620201,1,-4,-3,-18,-7,5,2,-2
1523210635620201,-3,-6,2,15,5,1,-3,-5
1523210635621397,1,1,20,-5,-13,-8,8,0
1523210635621397,-3,-2,-26,-32,-27,-17,-14,-7
1523210635643263,-7,-9,-12,8,4,0,-16,-2
1523210635643263,-4,-9,28,-4,13,6,19,-3
1523210635644266,2,6,21,-2,-11,-7,14,4
1523210635644266,-1,1,-12,-8,-9,-5,-21,-6
1523210635657493,-1,0,-6,-1,12,3,17,-4
1523210635657493,6,11,7,-6,10,12,-10,2
1523210635658299,0,-2,18,21,10,4,-4,1
1523210635658299,-5,-8,62,4,-16,-9,-5,20
1523210635680359,-2,-5,-6,-11,-14,-11,-25,-17
