timestamp,x,y,z
1523183200566215,2.3125,0.5625,-0.1875
1523183200581248,2.5625,0.375,-0.125
1523183200603312,2.6875,0.8125,0.0625
1523183200626367,1.625,0.75,0.3125
1523183200641408,1.5,1.0625,0.3125
1523183200663466,2.125,0.6875,1.125
1523183200686528,0.25,0.25,1.25
1523183200700570,-1.125,0.9375,0.75
1523183200723627,1.25,0.1875,0.5
1523183200746695,-0.75,-0.75,-0.4375
1523183200760725,0,-0.75,-0.375
1523183200783797,0.6875,-0.4375,-0.1875
1523183200805850,-1,-0.125,-0.0625
1523183200820885,-1.6875,0.5,-0.75
1523183200843941,0.5,-0.25,-0.5625
1523183200866506,3.4375,-1.6875,-0.6875
1523183200881042,3.625,-2.9375,-0.5625
1523183200904100,2.5625,-2.5,0.1875
1523183200926660,0,-0.9375,-0.375
1523183200940699,-1.9375,2.1875,0.5
1523183200963759,-3.625,2.8125,1
1523183200986319,-1.8125,1.0625,0.3125
1523183201000859,1.4375,-0.9375,1.5
1523183201023919,1.4375,-2.3125,2.1875
1523183201046478,2.875,-2.3125,1.1875
1523183201067536,0.8125,-0.5,-0.875
1523183201084079,-1,0.875,0.5
1523183201106676,-1.9375,0.375,1.8125
1523183201127931,-1.5625,0.6875,1.75
1523183201144239,-2.75,0.5,1.75
1523183201166829,-3.5,1.75,2
1523183201187353,-4.5,2.5625,0.6875
1523183201203897,-3.1875,2.25,-1.375
1523183201226458,-1,0.375,-1.9375
1523183201247513,-0.1875,-2,-1.6875
1523183201264058,0.9375,-1.8125,-0.5
1523183201286620,2.125,-1.5625,0.8125
1523183201315195,1.5625,-1.4375,1.1875
1523183201324219,1.25,-0.125,1.6875
1523183201346777,-1.4375,-0.5,0.9375
1523183201367836,-1.5625,-0.6875,-1
1523183201383876,0.9375,-0.8125,-1.375
1523183201406438,0.8125,-0.875,-1.625
1523183201427728,-0.875,-0.4375,-1.75
1523183201444036,-2.75,0.8125,-0.5
1523183201466600,-1.75,0.125,0.25
1523183201489157,-0.5625,-0.3125,0
1523183201504196,-0.8125,-0.5625,0.3125
1523183201526342,-1.3125,-0.75,0.4375
1523183201548905,-0.1875,-0.875,-0.6875
1523183201563942,0.0625,-1,-0.5625
1523183201592557,1.3125,-1.625,-1.5625
1523183201609061,0.6875,-2.25,-1.875
1523183201623604,0.4375,-1.5,-0.9375
1523183201646662,0.6875,-1.0625,-0.25
1523183201669221,1.25,0.25,0.125
1523183201683259,-1.125,1.625,0.125
1523183201706322,-0.0625,2.1875,0.375
1523183201728879,0.5625,0.75,1.375
1523183201743420,3.4375,-0.0625,2.25
1523183201766480,1.1875,-0.8125,2.25
1523183201789040,0.8125,-0.1875,2.0625
1523183201803578,-1.3125,-0.375,0.9375
1523183201826639,-0.375,-1.5625,-1.0625
1523183201849202,-1.3125,-1.75,-1.875
1523183201870255,-0.75,-1.9375,-2.5
1523183201886298,-0.0625,-0.4375,1.8125
1523183201908858,-3.3125,-1.6875,-0.625
1523183201923398,-2.0625,1.125,-0.9375
1523183201946458,-3.125,1.875,0.75
1523183201969019,-4.0625,1.3125,0
1523183201990075,-2.375,0.5,1.25
1523183202006621,-2.8125,0.5,0
1523183202029178,-1.5,2.125,1.0625
1523183202050236,-1.5625,1.0625,1.3125
1523183202066277,0.6875,0.5625,1.125
1523183202088837,0.6875,-0.5,0.0625
1523183202109893,0.375,0.6875,-0.1875
1523183202126438,0.375,1.5,1.4375
1523183202148997,-2.5,1.3125,0.6875
1523183202170052,-0.9375,-0.0625,-0.3125
1523183202186597,-0.875,-0.25,-1.625
1523183202209158,-1.1875,-0.6875,-1.6875
1523183202230214,-1.875,0.875,-0.1875
1523183202246759,-1.125,0.5,-0.4375
1523183202268815,1.875,-0.25,-1.125
1523183202289872,2.1875,-0.9375,-0.9375
1523183202306416,1.75,-1.375,-1.4375
1523183202328975,-0.5,-0.9375,-1.9375
1523183202351535,0.375,-0.5625,-2.375
1523183202366078,2.0625,0,-0.9375
1523183202389136,1.0625,-0.1875,1
1523183202410191,1.75,-1.125,1.875
1523183202427236,1.8125,-1.3125,1.3125
1523183202449298,1.4375,0.625,0.875
1523183202471354,-1.0625,1.25,0.9375
1523183202486393,-2.8125,1.5625,0.8125
1523183202508954,-1.125,1.125,-0.125
1523183202531518,-0.6875,-0.0625,0.4375
1523183202546556,0.6875,-0.5,0.625
1523183202569114,3.8125,-0.625,0.8125
1523183202591673,2.5625,-0.5625,0.8125
1523183202605711,-0.125,0.875,0.875
1523183202629777,-0.0625,1.375,1.375
1523183202651332,-0.125,1.8125,0.75
1523183202665871,0.625,1.0625,0.875
1523183202688933,0.4375,0.625,0.5625
1523183202711493,0.875,1.1875,1.1875
1523183202726032,0,0.875,1.25
1523183202749092,-1.25,3.0625,1.1875
1523183202771653,-4.625,3.25,0.6875
1523183202785689,-4.25,1,-0.125
1523183202808860,-1.5,-1.9375,-0.75
1523183202831420,1.75,-2.375,-1.1875
1523183202845958,1.1875,-1.9375,-1.5625
1523183202869021,0.9375,-0.625,-2.375
1523183202892085,-0.1875,-0.8125,-2.5
