timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523183497921678,30,-25,18,-3,-1,-2,-5,-31
1523183497921678,-47,13,-7,-1,-3,1,0,1
1523183497930703,59,-1,16,8,-1,-1,0,-3
1523183497930703,19,-15,-67,-9,-1,-3,0,4
1523183497945745,-26,-12,-18,-4,-2,1,0,-25
1523183497945745,61,63,-7,1,-2,-1,1,-9
1523183497946745,-52,17,48,3,-2,-2,0,22
1523183497946745,14,-10,-23,1,0,-2,-4,-6
1523183497967803,-19,4,5,0,-1,-1,1,12
1523183497967803,-75,-4,-2,-1,0,0,-3,-54
1523183497969806,2,6,0,-4,0,1,-2,4
1523183497969806,-36,13,10,0,-2,0,2,4
1523183497981838,73,-50,-8,-6,-6,-8,-10,-15
1523183497981838,-17,-24,5,-2,1,-1,-3,-1
1523183497990863,-43,-5,-32,-1,3,-1,0,4
1523183497990863,-28,-29,45,-7,-6,-4,-5,-22
1523183498005906,-29,8,-6,0,2,2,3,2
1523183498005906,20,1,4,2,-1,-1,-2,5
1523183498006912,10,61,3,9,2,-1,-2,47
1523183498006912,7,-25,-58,-21,-3,-3,-4,-21
1523183498027962,-10,4,8,-3,-4,-3,-1,13
1523183498027962,65,14,32,8,6,2,0,-1
1523183498029966,-17,-8,-62,-16,-8,-1,-3,3
1523183498029966,-37,2,16,6,4,3,4,4
1523183498042001,-7,-12,10,3,-2,-3,-3,21
1523183498042001,-95,-24,-4,-7,0,0,-2,-24
1523183498051022,11,-35,13,5,4,0,-1,-10
1523183498051022,-1,8,-2,2,-3,0,-2,6
1523183498065060,-27,6,-1,-5,-1,0,1,-20
1523183498065060,35,-8,-2,6,0,-1,-1,18
1523183498072080,7,-83,5,-3,-3,-4,-3,-16
1523183498072080,-42,4,12,3,0,0,-2,-8
1523183498088124,-30,24,36,1,1,0,-1,16
1523183498088124,61,-29,-2,-3,-1,-1,-2,11
1523183498090126,52,-16,-29,-11,-4,-4,0,1
1523183498090126,-13,6,98,10,-1,-3,-2,-7
1523183498110178,-43,-4,-64,-13,-1,2,1,-17
1523183498110178,0,8,-3,9,0,-3,2,34
1523183498112185,45,33,60,3,0,0,-2,7
1523183498112185,18,-9,-5,-1,-2,-2,-2,13
1523183498125221,18,11,-12,-3,-1,-1,-2,-6
1523183498125221,-34,-1,-15,-3,-2,-1,1,3
1523183498127225,-49,11,-6,2,2,0,-3,-90
1523183498127225,-44,-34,11,6,2,2,3,-11
1523183498148281,50,35,1,-4,-1,0,1,4
1523183498148281,16,31,-14,-5,0,1,1,1
1523183498149284,-44,-4,0,1,0,-2,0,14
1523183498149284,-28,-10,-28,-8,-3,0,0,-3
1523183498170339,2,-10,12,-5,-5,-1,-2,-22
1523183498170339,35,68,13,6,3,1,3,-2
1523183498172348,-32,-6,-7,-6,0,-2,0,8
1523183498172348,19,-21,-25,-2,-4,0,0,-9
1523183498185437,-29,0,-19,6,2,3,2,18
1523183498185437,55,-49,-2,-3,-4,-4,-5,-9
1523183498187385,-24,-3,-5,-9,-6,-2,-3,4
1523183498187385,27,-7,-44,0,1,-3,-1,-7
1523183498208441,35,-22,19,9,2,0,3,24
1523183498208441,-23,-68,17,4,2,1,-1,-6
1523183498209444,30,45,25,5,0,-2,-2,17
1523183498209444,-35,-18,13,-3,-1,1,-2,-4
1523183498230554,47,-72,-19,-6,-4,-2,-2,-6
1523183498230554,-14,44,3,-3,-2,-3,1,52
1523183498232504,26,9,-5,-2,-3,-1,1,7
1523183498232504,0,3,16,2,3,0,2,35
1523183498244535,-30,23,20,11,5,3,3,7
1523183498244535,-83,-40,-48,-28,-10,-6,-4,2
1523183498251557,-7,-12,4,5,0,2,1,-19
1523183498251557,58,15,0,4,1,0,2,24
1523183498268696,-21,-28,-11,-6,-6,-8,-4,-23
1523183498268696,12,0,3,9,4,4,2,-7
1523183498269605,-48,107,-10,-10,-3,-1,-2,12
