timestamp,x,y,z
1523210736088008,-4.375,-6.875,-3.6875
1523210736106056,-10.3125,-7.25,-5.5
1523210736129117,-20.4375,-22.1875,-11.9375
1523210736148170,-40,-23,-20.75
1523210736166215,-46.4375,-40.375,-24.8125
1523210736189277,-21.375,-40.75,-21.6875
1523210736208330,0,-34.25,-14.1875
1523210736226380,8.9375,-32.1875,-2.0625
1523210736248434,15.9375,-37.4375,17.1875
1523210736269490,22.1875,-27.25,19.625
1523210736285533,39.5,-17.625,20.6875
1523210736308597,70.6875,-22.1875,20.375
1523210736329651,78.5625,-37.5,25.1875
1523210736345692,45.25,-38.0625,25.8125
1523210736367751,20.625,-30.0625,21.375
1523210736389847,28.75,-26.75,15.5
1523210736411867,48.5625,-29.8125,9.6875
1523210736427911,48.4375,-35.625,6.4375
1523210736449208,33.125,-35.0625,0.75
1523210736465010,36.8125,-33.8125,-2.4375
1523210736488073,48.6875,-31.9375,-5.5625
1523210736509126,40.1875,-26,-6.3125
1523210736525172,33.875,-19.375,-6.0625
1523210736548231,34.375,-13.625,-4.6875
1523210736569289,32.4375,-9.9375,-0.1875
1523210736585329,18.3125,-6.875,4.4375
1523210736608391,13.25,-5.25,5.25
1523210736629446,15.75,-4.6875,5.125
1523210736644525,16.375,-4.0625,4.125
1523210736668549,15.9375,-5.125,4.5
1523210736689826,13.4375,-6.875,5.0625
1523210736704799,8.9375,-10,4.375
1523210736727708,10.5625,-10.5,3.1875
1523210736750769,13.8125,-9.625,2.375
1523210736765809,15.125,-7.6875,2.6875
1523210736787948,13.75,-6.1875,3.8125
1523210736810928,9.75,-1.125,5.25
1523210736825972,10.1875,2.4375,8.1875
1523210736848028,19.125,5.5,12.1875
1523210736871095,16.8125,7.125,14.625
1523210736892145,18.125,9.9375,14.1875
1523210736908189,25.375,9.6875,13.9375
1523210736931247,31.75,11.75,12.3125
1523210736952344,38.0625,12.75,12.75
1523210736968347,46.625,15.1875,15.9375
1523210736990462,41.4375,14.5625,20.9375
1523210737011461,28.3125,12.5625,18.5
1523210737028507,28.3125,10.3125,13.75
1523210737050566,35.4375,8.5625,12.6875
1523210737071864,36.75,8,13.4375
1523210737089668,27.75,10.5,12.0625
1523210737110725,16.5625,7.9375,7.8125
1523210737131781,14.8125,5.1875,6.1875
1523210737147824,11.5625,6.0625,6.5
1523210737170885,5.375,5.9375,6.375
1523210737185925,3.375,5.875,5.9375
1523210737207984,3.75,5.1875,4.75
1523210737231046,0.875,5.75,4.625
1523210737252100,2.625,7.4375,4.1875
1523210737268144,0.4375,7.4375,2.6875
1523210737290205,-2.1875,7.25,3.4375
1523210737311258,-2.8125,7,3.625
1523210737328304,1.25,5.9375,3.25
1523210737350363,1.0625,4.375,2.8125
1523210737371418,-0.875,3.5625,3.5
1523210737388464,-5.875,3.3125,3.25
1523210737410524,-6.6875,1.9375,2.375
1523210737431580,-2.0625,1.625,2.625
1523210737447623,0,0.875,2.875
1523210737470684,0.125,0.5625,3.25
1523210737491742,-0.75,1.375,3.25
1523210737507784,-0.8125,0.625,2.375
1523210737530841,-1.5,0.9375,2.3125
1523210737551906,-2.9375,1.4375,0.9375
1523210737567940,-1.3125,0.875,1.375
1523210737591004,1.1875,1,2
1523210737612057,1.5,-0.625,1.6875
1523210737629102,1.3125,-2.125,0.1875
1523210737650159,3,-1.625,-0.1875
1523210737673220,2.8125,-0.875,-0.3125
1523210737688260,2.8125,0.0625,0.25
1523210737710322,2.625,0.5,0.9375
1523210737733379,3.0625,-0.6875,-0.1875
1523210737748422,3.875,-1.5625,-0.4375
1523210737770478,3.25,-1.375,-0.1875
1523210737793581,2.1875,-0.25,-0.0625
1523210737807582,3.625,-0.5625,-0.625
1523210737830638,4.9375,-2.75,-1.625
1523210737852935,4.0625,-3.5625,-2.75
1523210737867742,0.375,-2.9375,-2.375
1523210737890798,-0.6875,-3.4375,-1.4375
1523210737912856,1.9375,-4.3125,-1.625
1523210737927896,2.6875,-3.5625,-1.75
1523210737951194,0.375,-2.5,-1.375
1523210737973031,0.125,-0.125,-0.75
1523210737987272,2.75,1.5,0.0625
1523210738010118,3.4375,1.8125,1.9375
1523210738033176,3.5625,0.6875,1.75
1523210738047213,1.5,0.1875,1.4375
1523210738070275,0.375,0.625,1.25
1523210738093339,1.3125,0.125,1.8125
1523210738107378,2.6875,-0.875,1.5
1523210738130435,1.875,-0.4375,1.3125
1523210738153496,1,1.1875,1.4375
1523210738174556,0.4375,1.1875,1.5625
1523210738190596,-0.75,0.8125,1.25
1523210738212653,-0.4375,1.0625,0.3125
1523210738233713,-1.375,1.75,0.375
1523210738250757,-3.5,2.625,0.8125
